original_field,original_value,translated_field,translated_value
Type,17,,
Type,16,,
Type,15,,
Type,4,,
Type,12,,
Type,14,,
Type,3,,
Level,8,,
Level,9,,
Level,7,,
Level,30,,
Level,26,,
Level,24,,
Level,5,,
Level,15,,
Level,6,,
Level,25,,
Level,1,,
Level,0,,
Level,22,,
Level,19,,
GraphicGroup,0,,
ColorIndex,10,,
ColorIndex,14,,
ColorIndex,12,,
ColorIndex,11,,
ColorIndex,79,,
ColorIndex,0,,
ColorIndex,107,,
Weight,0,,
Style,0,,
Style,2,,
Text,"10,86",,
Text,"11,07",,
Text,"10,76",,
Text,"11,12",,
Text,"10,99",,
Text,"10,98",,
Text,"8,97",,
Text,"10,41",,
Text,"9,48",,
Text,"9,79",,
Text,"7,92",,
Text,"8,08",,
Text,"8,04",,
Text,"7,84",,
Text,"8,05",,
Text,"7,94",,
Text,"8,06",,
Text,"8,57",,
Text,"10,45",,
Text,"10,66",,
Text,"9,19",,
Text,"9,64",,
Text,"9,25",,
Text,"9,63",,
Text,"8,33",,
Text,"9,57",,
Text,"9,55",,
Text,"9,71",,
Text,"9,50",,
Text,"10,32",,
Text,"10,14",,
Text,"9,13",,
Text,"10,16",,
Text,"9,52",,
Text,"10,75",,
Text,"7,59",,
Text,"7,40",,
Text,"7,67",,
Text,"10,12",,
Text,"10,37",,
Text,"7,17",,
Text,"7,43",,
Text,"7,27",,
Text,"7,35",,
Text,"7,29",,
Text,"7,31",,
Text,"8,44",,
Text,"8,38",,
Text,"7,34",,
Text,"7,50",,
Text,"7,48",,
Text,"7,33",,
Text,"7,30",,
Text,"8,22",,
Text,"9,04",,
Text,"11,11",,
Text,"11,67",,
Text,"10,11",,
Text,"9,77",,
Text,"9,00",,
Text,"9,26",,
Text,"9,09",,
Text,"10,19",,
Text,"8,99",,
Text,"8,45",,
Text,"8,75",,
Text,"8,52",,
Text,"8,18",,
Text,"5,81",,
Text,"7,88",,
Text,"8,26",,
Text,"7,98",,
Text,"8,27",,
Text,"5,57",,
Text,"5,42",,
Text,"5,59",,
Text,"5,61",,
Text,"4,82",,
Text,"5,29",,
Text,"8,16",,
Text,"8,55",,
Text,"8,61",,
Text,"8,21",,
Text,"7,76",,
Text,"9,06",,
Text,"8,00",,
Text,"8,58",,
Text,"5,02",,
Text,"7,28",,
Text,"9,28",,
Text,"9,33",,
Text,"8,91",,
Text,"8,83",,
Text,"7,58",,
Text,"8,07",,
Text,"9,16",,
Text,"8,31",,
Text,"8,01",,
Text,"8,53",,
Text,"8,41",,
Text,"9,07",,
Text,"8,28",,
Text,"8,90",,
Text,"8,96",,
Text,"8,78",,
Text,"9,14",,
Text,"9,40",,
Text,"8,67",,
Text,"8,02",,
Text,"9,43",,
Text,"9,39",,
Text,"9,32",,
Text,"9,03",,
Text,"8,85",,
Text,"9,44",,
Text,"8,64",,
Text,"9,17",,
Text,"9,08",,
Text,"9,12",,
Text,"9,59",,
Text,"9,93",,
Text,"9,74",,
Text,"9,99",,
Text,"11,64",,
Text,"11,63",,
Text,"14,14",,
Text,"9,58",,
Text,"8,73",,
Text,"9,15",,
Text,"9,27",,
Text,"9,35",,
Text,"9,10",,
Text,"9,24",,
Text,"9,46",,
Text,"8,56",,
Text,"8,10",,
Text,"10,91",,
Text,"10,51",,
Text,"11,73",,
Text,"12,98",,
Text,"12,07",,
Text,"11,96",,
Text,"12,52",,
Text,"12,19",,
Text,"12,44",,
Text,"12,24",,
Text,"10,63",,
Text,"13,87",,
Text,"13,56",,
Text,"12,87",,
Text,"10,31",,
Text,"12,77",,
Text,"12,39",,
Text,"13,41",,
Text,"14,44",,
Text,"12,90",,
Text,"13,28",,
Text,"13,37",,
Text,"11,32",,
Text,"10,27",,
Text,"10,07",,
Text,"10,08",,
Text,"10,35",,
Text,"9,66",,
Text,"10,68",,
Text,"9,45",,
Text,"9,70",,
Text,"10,84",,
Text,"10,73",,
Text,"11,34",,
Text,"11,22",,
Text,"11,31",,
Text,"11,38",,
Text,"12,30",,
Text,"10,67",,
Text,"10,24",,
Text,"8,80",,
Text,"8,72",,
Text,"8,59",,
Text,"8,43",,
Text,"7,54",,
Text,"7,44",,
Text,"8,46",,
Text,"8,25",,
Text,"7,41",,
Text,"7,23",,
Text,"7,97",,
Text,"7,93",,
Text,"7,79",,
Text,"7,45",,
Text,"7,42",,
Text,"7,25",,
Text,"7,39",,
Text,"9,54",,
Text,"8,92",,
Text,"9,38",,
Text,"10,56",,
Text,"10,05",,
Text,"9,65",,
Text,"13,12",,
Text,"6,87",,
Text,"8,09",,
Text,"8,40",,
Text,"7,85",,
Text,"8,48",,
Text,"8,13",,
Text,"8,37",,
Text,"8,23",,
Text,"8,54",,
Text,"8,34",,
Text,"8,50",,
Text,"8,66",,
Text,"8,24",,
Text,"8,51",,
Text,"2,67",,
Text,"7,99",,
Text,"7,90",,
Text,"9,41",,
Text,"9,01",,
Text,"8,81",,
Text,"8,17",,
Text,"7,46",,
Text,"7,56",,
Text,"7,96",,
Text,"8,30",,
Text,"8,19",,
Text,"8,12",,
Text,"8,87",,
Text,"8,29",,
Text,"8,03",,
Text,"8,62",,
Text,"12,09",,
Text,"9,68",,
Text,"11,85",,
Text,"14,21",,
Text,"14,03",,
Text,"12,64",,
Text,"13,01",,
Text,"10,97",,
Text,"12,20",,
Text,"14,13",,
Text,"12,13",,
