original_field,original_value,translated_field,translated_value
Type,12,,
Type,4,,
Type,3,,
Type,17,,
Type,6,,
Type,15,,
Level,7,,
Level,10,,
Level,5,,
Level,20,,
GraphicGroup,0,,
ColorIndex,10,,
Weight,0,,
Weight,1,,
Style,0,,
EntityNum,1.0,,
EntityNum,28155.0,,
MSLink,1470.0,,
MSLink,0.0,,
Text, 03H.1,,
Text,03h-1,,
Text,02H.5,,
Text,3P.1,,
Text,02Q.9,,
Text,02Q.8,,
Text,02Q.7,,
Text,02Q.15,,
Text,02Q.6,,
Text,02Q.5,,
Text,02Q.13,,
Text,02Q.10,,
Text,02Q.12,,
Text,02Q.11,,
Text,02Q.4,,
Text,02Q.3,,
Text,02Q.2,,
Text,03P.38,,
Text,2Q.3,,
Text,03P.1,,
Text,02P.6,,
Text,02P.7,,
Text,2Q.8,,
Text,02Q.16,,
Text,03P.24,,
Text,02P.23,,
Text,2P.24,,
Text,03Q.3,,
Text,03Q.1,,
Text,02P.4,,
Text,2P.8,,
Text,03P.20,,
Text,03P.25,,
Text,02P.27,,
Text,02P.28,,
Text,03P.30,,
Text,02Q.1,,
Text,03P.26,,
Text,2Q.6,,
Text,2Q.1,,
Text,03Q.7,,
ULink,"{'0': [{'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x23e0', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'31225': [{'size': 32, 'raw': ['0x100f', '0x79f9', '0xffd7', '0xffff', '0x0021', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x4170', '0x2f12', '0xac75', '0xd2e8', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'0': [{'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x000e', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 32, 'raw': ['0x100f', '0x79f9', '0xffd7', '0xffff', '0x0021', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x4170', '0x2f12', '0xac75', '0xd2e8', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x001e', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 32, 'raw': ['0x100f', '0x79f9', '0xffd7', '0xffff', '0x0021', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x4170', '0x2f12', '0xac75', '0xd2e8', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0024', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 32, 'raw': ['0x100f', '0x79f9', '0xffd7', '0xffff', '0x0021', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x4170', '0x2f12', '0xac75', '0xd2e8', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'0': [{'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'0': [{'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0022', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'0': [{'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0030', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
