fid,P13_001,P13_002,P13_003,P13_004,P13_005,P13_006,P13_007,P13_008,P13_009,P13_010,radius,_LST_farme,_LST_far_1,_LST_nearm,_LST_nea_1,dif_LST,log10_area
63,大阪府,大阪市,桜之宮,4,大阪府,大阪市,1923,227351,2,,269.013,40.092289246426816,41.214838849468293,39.493240646887067,39.466418123017917,0.599,5.357
68,大阪府,大阪市,東野田,1,大阪府,大阪市,1959,3418,1,,32.985,42.260452381284985,42.217510436386874,42.026370092531046,41.922933858453234,0.234,3.534
650,大阪府,大阪市,鴫野の森,1,大阪府,大阪市,1998,1200,2,,19.544,42.898216161459317,43.248444542317571,43.395454792245701,43.427985141429190,-0.497,3.079
64,大阪府,大阪市,都島,2,大阪府,大阪市,1929,12224,1,,62.378,44.847075176061381,44.849985776992838,43.552262843359912,43.559985502106088,1.295,4.087
67,大阪府,大阪市,京橋,1,大阪府,大阪市,1956,6662,1,,46.050,42.234207832623376,42.197510765826166,41.909516570608574,41.931582539580887,0.325,3.824
83,大阪府,大阪市,東都島,1,大阪府,大阪市,1982,1137,2,,19.024,44.931256171290499,45.005682026470083,44.839809112340568,44.874996383038081,0.091,3.056
72,大阪府,大阪市,都島北通,1,大阪府,大阪市,1966,773,1,,15.686,45.177626120804256,45.249144178206166,44.892624482528277,44.879559261062298,0.285,2.888
69,大阪府,大阪市,桜之宮東,1,大阪府,大阪市,1960,8317,1,,51.453,44.793155913446505,44.685718768379161,43.922683746708699,43.945168491603539,0.870,3.920
632,大阪府,大阪市,榎並,1,大阪府,大阪市,1977,884,2,,16.775,45.119465106045894,45.171765109748833,45.550142502207819,45.466604204387011,-0.431,2.946
634,大阪府,大阪市,新喜多,1,大阪府,大阪市,1979,1073,1,,18.481,43.881358786748343,44.303505667077303,44.147705496643198,44.264207419083789,-0.266,3.031
654,大阪府,大阪市,蒲生二ふれあい,12,大阪府,大阪市,2007,2018,2,,25.345,44.806469760986843,44.731823967062837,45.085438300103903,45.017510228128174,-0.279,3.305
623,大阪府,大阪市,野江,1,大阪府,大阪市,1963,1464,1,,21.587,44.284542238176407,44.362309448264057,44.378057132333574,44.375188333043440,-0.094,3.166
39,大阪府,大阪市,国分寺,1,大阪府,大阪市,1961,1319,1,,20.490,44.347737687838176,44.480742159680545,44.463099537621538,44.388336960535526,-0.115,3.120
22,大阪府,大阪市,鶴満寺,1,大阪府,大阪市,1950,2519,1,,28.316,42.652447430098455,42.567563715884653,42.591785956148115,42.654391038049653,0.061,3.401
32,大阪府,大阪市,東天満,1,大阪府,大阪市,1956,1800,1,,23.937,39.414541177086591,39.954038796941006,39.299776540108191,38.949761110655686,0.115,3.255
54,大阪府,大阪市,長柄東,2,大阪府,大阪市,1986,12439,1,,62.924,39.887737161329255,39.989328806341462,39.726676379785921,39.753431009065139,0.161,4.095
