,BUILD_COV,BUILD_DEN,BUILD_H_MEAN,BUILD_H_MAX,ROAD_DEN,ELEV_MEAN,NDVI,NDBI,NDWI,LULC_WATER_COV,LULC_TREE_COV,LULC_CROP_COV,LULC_BUILT_COV,LULC_RANGE_COV,LULC_WETLAND_COV,LULC_BARE_COV,NTL_MEAN,POP_DEN_WORLDPOP2020,POP_DEN_LANDSCAN2020,POP_DEN_LANDSCAN2023
BUILD_COV,1.0,0.8291164238403751,0.9248068048148169,0.9290175851480033,0.37327184585188916,0.06772206191310635,-0.26524245275816577,0.6061622365315517,0.1808673763343163,-0.15022125851175425,-0.11608335675860224,-0.5034292534155431,0.7232020568320886,0.03916777283226864,-0.0802550685461,,0.29261295381134483,0.3720913232525045,0.303712636325949,0.3702581601872755
BUILD_DEN,0.8291164238403751,1.0,0.8739875150852804,0.882017369173864,0.362817131395691,0.07934400870798697,-0.19264499050048603,0.5425136155995915,0.11213040828778222,-0.1460492092514684,-0.10830374490908412,-0.43360618394998596,0.6474190090143317,0.001015836764740658,-0.07882232371273869,,0.2330267509461518,0.31586469274566653,0.2687703994715641,0.3394017472737149
BUILD_H_MEAN,0.9248068048148169,0.8739875150852804,1.0,0.9984525801881302,0.3941393751341605,0.07768333927732955,-0.24116912422234815,0.6064327228796024,0.1565767670297387,-0.15919358598215588,-0.12012567353167374,-0.4939613577632574,0.7260175595640499,0.0372399475245539,-0.08588883781613331,,0.30218750690030316,0.3809786532978609,0.3160912562599847,0.3841800068638055
BUILD_H_MAX,0.9290175851480033,0.882017369173864,0.9984525801881302,1.0,0.39695448392166527,0.07677413318352314,-0.24510381790185132,0.6102082478824336,0.15978164167640752,-0.15936103815785896,-0.12086274363898387,-0.49806801518452765,0.7305689569151319,0.03620157016225534,-0.0859112548482646,,0.30433000767643476,0.3841428470157074,0.3185351649895542,0.38703928130457443
ROAD_DEN,0.37327184585188916,0.362817131395691,0.3941393751341605,0.39695448392166527,1.0,0.016983406146242944,-0.17140435474650265,0.4204049263914619,0.12320833449456081,-0.14890586880491694,-0.12282066891689007,-0.27721671847534873,0.4894405009082085,-0.005628551255718624,-0.08129598357410085,,0.26521895682527724,0.30883448599425745,0.2475906520900264,0.2901813069292806
ELEV_MEAN,0.06772206191310635,0.07934400870798697,0.07768333927732955,0.07677413318352314,0.016983406146242944,1.0,0.4026257009365939,0.10084532348354214,-0.46124506859786224,-0.21860754091294612,0.41049286658432793,-0.11485286410577941,0.025081308661519853,0.08770498946487597,-0.06561651469176037,,-0.17692079362421456,-0.2416903522796747,-0.14771976160989758,-0.16229558975950037
NDVI,-0.26524245275816577,-0.19264499050048603,-0.24116912422234815,-0.24510381790185132,-0.17140435474650265,0.4026257009365939,1.0,-0.399078352562544,-0.9767785119938108,-0.3150979781633746,0.3606939729054561,0.30893197182037035,-0.3247066754102258,0.01958456050343585,-0.12029750706749055,,-0.2294576161976508,-0.24074076303368191,-0.1748407861017464,-0.1865474220417146
NDBI,0.6061622365315517,0.5425136155995915,0.6064327228796024,0.6102082478824336,0.4204049263914619,0.10084532348354214,-0.399078352562544,1.0,0.3011632816539517,-0.05566754811573581,-0.1787152882902734,-0.49698455886223586,0.6810640426662149,0.048821450443786406,-0.011321845862806648,,0.35673510776938544,0.363052773525128,0.2829407862815602,0.3554451078383087
NDWI,0.1808673763343163,0.11213040828778222,0.1565767670297387,0.15978164167640752,0.12320833449456081,-0.46124506859786224,-0.9767785119938108,0.3011632816539517,1.0,0.3552611494900769,-0.3693757903129354,-0.24672645889359293,0.2412642207442869,-0.027675114171004288,0.13176973087158006,,0.20555403026850427,0.21382070467827732,0.1517595469958708,0.15400951529461301
LULC_WATER_COV,-0.15022125851175425,-0.1460492092514684,-0.15919358598215588,-0.15936103815785896,-0.14890586880491694,-0.21860754091294612,-0.3150979781633746,-0.05566754811573581,0.3552611494900769,1.0,-0.06904945508112276,-0.3090409514440042,-0.16601859180964748,-0.029227001171117987,0.14182654779380816,,-0.06781144720771615,-0.16430590273189968,-0.1363855166422257,-0.1427214105823179
LULC_TREE_COV,-0.11608335675860224,-0.10830374490908412,-0.12012567353167374,-0.12086274363898387,-0.12282066891689007,0.41049286658432793,0.3606939729054561,-0.1787152882902734,-0.3693757903129354,-0.06904945508112276,1.0,-0.31364736311667807,-0.15612034230119673,0.07826513911998059,-0.03497866748310471,,-0.36203145814103915,-0.3650551442388459,-0.3426723184349799,-0.3414587983223751
LULC_CROP_COV,-0.5034292534155431,-0.43360618394998596,-0.4939613577632574,-0.49806801518452765,-0.27721671847534873,-0.11485286410577941,0.30893197182037035,-0.49698455886223586,-0.24672645889359293,-0.3090409514440042,-0.31364736311667807,1.0,-0.6964105677331377,-0.11281589528959354,-0.1700959402503962,,-0.13739671607214599,-0.15882986902738871,-0.07344846351484861,-0.13742787071435283
LULC_BUILT_COV,0.7232020568320886,0.6474190090143317,0.7260175595640499,0.7305689569151319,0.4894405009082085,0.025081308661519853,-0.3247066754102258,0.6810640426662149,0.2412642207442869,-0.16601859180964748,-0.15612034230119673,-0.6964105677331377,1.0,0.006559777548974908,-0.08423907322245391,,0.4142765654729049,0.5025385584009734,0.3873539812227467,0.4614670243519
LULC_RANGE_COV,0.03916777283226864,0.001015836764740658,0.0372399475245539,0.03620157016225534,-0.005628551255718624,0.08770498946487597,0.01958456050343585,0.048821450443786406,-0.027675114171004288,-0.029227001171117987,0.07826513911998059,-0.11281589528959354,0.006559777548974908,1.0,-0.009250757349352953,,-0.020116832308302916,-0.032171158173223566,-0.039987558350770856,-0.04199082130942503
LULC_WETLAND_COV,-0.0802550685461,-0.07882232371273869,-0.08588883781613331,-0.0859112548482646,-0.08129598357410085,-0.06561651469176037,-0.12029750706749055,-0.011321845862806648,0.13176973087158006,0.14182654779380816,-0.03497866748310471,-0.1700959402503962,-0.08423907322245391,-0.009250757349352953,1.0,,-0.06361667450287724,-0.06452976228181846,-0.106822850608525,-0.10602062465550754
