,BUILD_COV,BUILD_DEN,BUILD_H_MEAN,BUILD_H_MAX,ROAD_DEN,ELEV_MEAN,NDVI,NDBI,NDWI,LULC_WATER_COV,LULC_TREE_COV,LULC_CROP_COV,LULC_BUILT_COV,LULC_RANGE_COV,LULC_WETLAND_COV,LULC_BARE_COV,NTL_MEAN,POP_DEN_WORLDPOP2020,POP_DEN_LANDSCAN2020,POP_DEN_LANDSCAN2023
BUILD_COV,1.0,0.5955869086764818,0.44986326601062626,0.48461794646108763,-0.14584523990935389,-0.07051477031819599,-0.47862004201097963,0.6786941668985205,0.38396188375614215,-0.056207764380911185,-0.0681348004087363,-0.5630122961176427,0.5737751904932343,0.0620657367127463,-0.03415165624605451,,0.23080378623921324,0.24866702454202858,0.21472456353765762,0.22282597400155207
BUILD_DEN,0.5955869086764818,1.0,0.20125426333839475,0.27004208165466687,-0.052018184980118815,-0.05398719205958088,-0.31180028669869375,0.5486586885861601,0.19804560935024546,-0.04602202383101017,-0.0505908589904582,-0.46925620544186075,0.48960525312031283,-0.04163965678307881,-0.027611625761417,,0.0963120587924,0.19526645718715935,0.18345990822487532,0.18983191737741403
BUILD_H_MEAN,0.44986326601062626,0.20125426333839475,1.0,0.9802032467450302,-0.0705137558243932,-0.04457772258525696,-0.304153382462794,0.40329490709698584,0.24891572089401337,-0.038504613091438114,-0.03595320692687232,-0.3931937367414851,0.40086040450132565,0.025802883040405525,-0.026569185601078505,,0.3566505923715809,0.3582255554638026,0.3028149285216647,0.3144069901595808
BUILD_H_MAX,0.48461794646108763,0.27004208165466687,0.9802032467450302,1.0,-0.06314394092147807,-0.04859443551445354,-0.3251218288433358,0.437584576516463,0.26288692291978855,-0.04150291567353742,-0.03989220184849145,-0.4218801509968642,0.43140877463160837,0.020091077281218714,-0.028106030310924172,,0.364397331378303,0.37431805764797715,0.3161993237141085,0.328221498864263
ROAD_DEN,-0.14584523990935389,-0.052018184980118815,-0.0705137558243932,-0.06314394092147807,1.0,-0.0321657786818105,-0.14459528830579174,0.07574657535965285,0.13967748040612282,-0.024006442518568778,-0.03158578809076134,-0.09815200734704649,0.11292008681019734,-0.03864852901806972,-0.01060563896019677,,0.15658943505327616,0.13642727391228057,0.12181666136388893,0.12408648401429725
ELEV_MEAN,-0.07051477031819599,-0.05398719205958088,-0.04457772258525696,-0.04859443551445354,-0.0321657786818105,1.0,0.21117133482125908,-0.10241893221141987,-0.22239648841918835,-0.023671729402599147,0.519451725150317,0.020588626979418018,-0.12977017943150113,0.052653308242537986,-0.013346532015435333,,-0.12533622697795174,-0.06788323448710208,-0.05767723350445449,-0.0595978218535434
NDVI,-0.47862004201097963,-0.31180028669869375,-0.304153382462794,-0.3251218288433358,-0.14459528830579174,0.21117133482125908,1.0,-0.731178538478713,-0.9568939180573098,-0.09758927281860319,0.16898110002998196,0.5672389010799755,-0.5739689370543396,-0.05851555440294743,-0.049047252968274294,,-0.36708017199032944,-0.32772525013379145,-0.264731434345805,-0.2730598323249835
NDBI,0.6786941668985205,0.5486586885861601,0.40329490709698584,0.437584576516463,0.07574657535965285,-0.10241893221141987,-0.731178538478713,1.0,0.5992712063513942,-0.072882285457167,-0.10665816179458189,-0.7525080791424584,0.7735948552471166,0.04521587655084093,-0.027562713052566145,,0.35533580388148606,0.36395239631363957,0.30959592647097767,0.3206696585961599
NDWI,0.38396188375614215,0.19804560935024546,0.24891572089401337,0.26288692291978855,0.13967748040612282,-0.22239648841918835,-0.9568939180573098,0.5992712063513942,1.0,0.1648992585913286,-0.17056895314813955,-0.45759171901778506,0.4537206100288192,0.07070632608716045,0.07337915825226084,,0.36116016246278493,0.302683269470825,0.2397680288382501,0.24642368893521163
LULC_WATER_COV,-0.056207764380911185,-0.04602202383101017,-0.038504613091438114,-0.04150291567353742,-0.024006442518568778,-0.023671729402599147,-0.09758927281860319,-0.072882285457167,0.1648992585913286,1.0,-0.008816753824329442,-0.037631604077192446,-0.08512204093813912,-0.007838652747043874,0.04937209820224216,,-0.025929820468002417,-0.021218955706120722,-0.020289183277818198,-0.020041277005384106
LULC_TREE_COV,-0.0681348004087363,-0.0505908589904582,-0.03595320692687232,-0.03989220184849145,-0.03158578809076134,0.519451725150317,0.16898110002998196,-0.10665816179458189,-0.17056895314813955,-0.008816753824329442,1.0,-0.08266835309078785,-0.12421508589597345,0.026789060164747497,-0.005141395354616183,,-0.08716799160956658,-0.05760254672835046,-0.049646667931290835,-0.05025780027735366
LULC_CROP_COV,-0.5630122961176427,-0.46925620544186075,-0.3931937367414851,-0.4218801509968642,-0.09815200734704649,0.020588626979418018,0.5672389010799755,-0.7525080791424584,-0.45759171901778506,-0.037631604077192446,-0.08266835309078785,1.0,-0.9584227431308339,-0.07576760418730676,-0.0326111478611677,,-0.3431826475931934,-0.33240356369396173,-0.28063891143632796,-0.2900828382526717
LULC_BUILT_COV,0.5737751904932343,0.48960525312031283,0.40086040450132565,0.43140877463160837,0.11292008681019734,-0.12977017943150113,-0.5739689370543396,0.7735948552471166,0.4537206100288192,-0.08512204093813912,-0.12421508589597345,-0.9584227431308339,1.0,-0.06623623382612798,-0.04872535537137712,,0.35950573854546386,0.34771783556359437,0.2956909455330825,0.3052049014351316
LULC_RANGE_COV,0.0620657367127463,-0.04163965678307881,0.025802883040405525,0.020091077281218714,-0.03864852901806972,0.052653308242537986,-0.05851555440294743,0.04521587655084093,0.07070632608716045,-0.007838652747043874,0.026789060164747497,-0.07576760418730676,-0.06623623382612798,1.0,-0.0031851595244949075,,0.02226187943514393,-0.016842577903577013,-0.023757757968527117,-0.024417030925377645
LULC_WETLAND_COV,-0.03415165624605451,-0.027611625761417,-0.026569185601078505,-0.028106030310924172,-0.01060563896019677,-0.013346532015435333,-0.049047252968274294,-0.027562713052566145,0.07337915825226084,0.04937209820224216,-0.005141395354616183,-0.0326111478611677,-0.04872535537137712,-0.0031851595244949075,1.0,,-0.012018752134188059,-0.01404127257564982,-0.01601251872493799,-0.015403802225472493
LULC_BARE_COV,,,,,,,,,,,,,,,,,,,,
NTL_MEAN,0.23080378623921324,0.0963120587924,0.3566505923715809,0.364397331378303,0.15658943505327616,-0.12533622697795174,-0.36708017199032944,0.35533580388148606,0.36116016246278493,-0.025929820468002417,-0.08716799160956658,-0.3431826475931934,0.35950573854546386,0.02226187943514393,-0.012018752134188059,,1.0,0.6885409608777059,0.5863007759490848,0.5961592721994596
POP_DEN_WORLDPOP2020,0.24866702454202858,0.19526645718715935,0.3582255554638026,0.37431805764797715,0.13642727391228057,-0.06788323448710208,-0.32772525013379145,0.36395239631363957,0.302683269470825,-0.021218955706120722,-0.05760254672835046,-0.33240356369396173,0.34771783556359437,-0.016842577903577013,-0.01404127257564982,,0.6885409608777059,1.0,0.7986016001948008,0.8214232922488346
POP_DEN_LANDSCAN2020,0.21472456353765762,0.18345990822487532,0.3028149285216647,0.3161993237141085,0.12181666136388893,-0.05767723350445449,-0.264731434345805,0.30959592647097767,0.2397680288382501,-0.020289183277818198,-0.049646667931290835,-0.28063891143632796,0.2956909455330825,-0.023757757968527117,-0.01601251872493799,,0.5863007759490848,0.7986016001948008,1.0,0.9788949133473556
POP_DEN_LANDSCAN2023,0.22282597400155207,0.18983191737741403,0.3144069901595808,0.328221498864263,0.12408648401429725,-0.0595978218535434,-0.2730598323249835,0.3206696585961599,0.24642368893521163,-0.020041277005384106,-0.05025780027735366,-0.2900828382526717,0.3052049014351316,-0.024417030925377645,-0.015403802225472493,,0.5961592721994596,0.8214232922488346,0.9788949133473556,1.0
