,BUILD_COV,BUILD_DEN,BUILD_H_MEAN,BUILD_H_MAX,ROAD_DEN,ELEV_MEAN,NDVI,NDBI,NDWI,LULC_WATER_COV,LULC_TREE_COV,LULC_CROP_COV,LULC_BUILT_COV,LULC_RANGE_COV,LULC_WETLAND_COV,LULC_BARE_COV,NTL_MEAN,POP_DEN_WORLDPOP2020,POP_DEN_LANDSCAN2020,POP_DEN_LANDSCAN2023
BUILD_COV,1.0,0.6863497623375746,0.7920095987125599,0.8187532771223568,-0.1903569850302809,0.05121990630252642,-0.4588970395490517,0.6845805641371816,0.3639654818557023,-0.07862180312185706,-0.07086177395735353,-0.610057422450933,0.6244751695784202,0.04333279969353169,-0.04703541720864466,,0.2486750178200128,0.3417494432326419,0.27528373379093196,0.3347696136316206
BUILD_DEN,0.6863497623375746,1.0,0.5927746756792917,0.6454242805951658,-0.170170859091019,0.0860750775251409,-0.2595801123847308,0.5143140532521088,0.16431768421698847,-0.06458916141736308,-0.04001892579226166,-0.4778722937034464,0.49785486141952245,-0.03954403042010381,-0.03895754702247049,,0.09849708331579755,0.21057666558706192,0.20238742325528492,0.26995006432705854
BUILD_H_MEAN,0.7920095987125599,0.5927746756792917,1.0,0.9844473177454063,-0.1913167363178744,0.08282093485622054,-0.40108658517793494,0.6291933795042127,0.3036222888965908,-0.07609160088009688,-0.04897020697834149,-0.6036563278024089,0.6155325142741412,0.03975551271265093,-0.04991498545206223,,0.2861946317033219,0.3764118633391972,0.3134846106205795,0.3738661064562977
BUILD_H_MAX,0.8187532771223568,0.6454242805951658,0.9844473177454063,1.0,-0.17747546281560858,0.07741171886068877,-0.424507868650618,0.6559226385313237,0.3232616494112936,-0.07820814797149178,-0.05525341968318402,-0.626549022340053,0.6399260001258923,0.03457745013455561,-0.05053577330827366,,0.29795746460350964,0.3928662625445728,0.3266760412205281,0.389460401526637
ROAD_DEN,-0.1903569850302809,-0.170170859091019,-0.1913167363178744,-0.17747546281560858,1.0,-0.05566665341155583,-0.1385801870086061,0.05409736659624836,0.14880209716744736,-0.02024285768918649,-0.04038744924680344,-0.07210930996023672,0.08602185294224977,-0.045801280808906907,-0.010247707242295363,,0.1248694397683854,0.11536266874583513,0.08615895412272305,0.0874586769401134
ELEV_MEAN,0.05121990630252642,0.0860750775251409,0.08282093485622054,0.07741171886068877,-0.05566665341155583,1.0,0.20992515893453895,0.02938157308992816,-0.2814125055260225,-0.10513559365673068,0.21756920854441789,-0.004246381789991023,-0.02504178006689803,0.05264993150494156,-0.05097861630123258,,-0.14954227587712474,-0.2018305332567651,-0.09089520281288117,-0.12393607003054262
NDVI,-0.4588970395490517,-0.2595801123847308,-0.40108658517793494,-0.424507868650618,-0.1385801870086061,0.20992515893453895,1.0,-0.7640288723229252,-0.9618650827793779,-0.04914569580110087,0.17450237434154287,0.6006807446483432,-0.6097721545448251,-0.03622064328816219,-0.02452596469549052,,-0.40691496147732475,-0.4703204485947988,-0.3251786533867028,-0.36293289519655586
NDBI,0.6845805641371816,0.5143140532521088,0.6291933795042127,0.6559226385313237,0.05409736659624836,0.02938157308992816,-0.7640288723229252,1.0,0.6571637858667276,-0.09409206981982175,-0.11538987427240649,-0.784657669753338,0.8058292958820616,0.043422849878986675,-0.035014208669223744,,0.4149818272884122,0.5054790233375721,0.3776705429045499,0.44946888115946065
NDWI,0.3639654818557023,0.16431768421698847,0.3036222888965908,0.3232616494112936,0.14880209716744736,-0.2814125055260225,-0.9618650827793779,0.6571637858667276,1.0,0.09550778639797687,-0.18521126569871774,-0.5085365851520872,0.5146925775272716,0.0356539502500265,0.0403956181916497,,0.400575163861828,0.4475375647037633,0.2981960822128529,0.32256014843268127
LULC_WATER_COV,-0.07862180312185706,-0.06458916141736308,-0.07609160088009688,-0.07820814797149178,-0.02024285768918649,-0.10513559365673068,-0.04914569580110087,-0.09409206981982175,0.09550778639797687,1.0,-0.012660197625424748,-0.006442337319782003,-0.10730120936007245,-0.01169587004880189,0.13465353365096105,,-0.05203056241950795,-0.049946343718655244,-0.057416868667570564,-0.06323537522314318
LULC_TREE_COV,-0.07086177395735353,-0.04001892579226166,-0.04897020697834149,-0.05525341968318402,-0.04038744924680344,0.21756920854441789,0.17450237434154287,-0.11538987427240649,-0.18521126569871774,-0.012660197625424748,1.0,-0.045581991928857896,-0.14296673724347925,0.10735246572686245,-0.007160756474805153,,-0.19314726631710427,-0.19509444475491505,-0.17151919627381043,-0.17099616013973234
LULC_CROP_COV,-0.610057422450933,-0.4778722937034464,-0.6036563278024089,-0.626549022340053,-0.07210930996023672,-0.004246381789991023,0.6006807446483432,-0.784657669753338,-0.5085365851520872,-0.006442337319782003,-0.045581991928857896,1.0,-0.9571569720199853,-0.0726005549296625,-0.018577570307830648,,-0.40089617406360123,-0.5098576086338135,-0.37742661477246353,-0.45197336055480586
