feature,linear_abs_standardized_coefficient,random_forest_importance,permutation_importance,vif
BUILD_COV,0.06490212678909302,0.00494600005835121,0.0009526424205623552,2.4989876526843626
BUILD_DEN,0.025379061698913574,0.006296572811315182,0.0023118449320787882,1.8291238514701216
BUILD_H_MEAN,0.03679927438497543,0.01767940178447737,0.010497438474394705,1.4557520250285125
ROAD_DEN,0.0027736742049455643,0.013779555476436995,0.001568643073967213,1.1475253933833567
ELEV_MEAN,0.049875736236572266,0.051854838626251565,0.10695130873651806,1.4238420240582668
POP_DEN_WORLDPOP2020,0.11441932618618011,0.15490965020122027,0.25747935080669604,2.0301695993246813
NTL_MEAN,0.15292595326900482,0.04281337666236608,0.06873343705398974,2.12550032926651
NDVI,0.09868504852056503,0.021483796327524715,0.012255073009481,22.883399417044824
NDBI,0.471582293510437,0.5650483903274137,0.43195387008177677,5.0611377081127396
NDWI,0.11807899177074432,0.03019046219004638,0.030916596940556117,17.455193157427647
LULC_WATER_COV,0.05454485863447189,0.0017922883930247414,0.001581779833678909,1.0979290067839451
LULC_TREE_COV,0.01773165725171566,0.0004959290670339109,0.00017659738563191585,1.3812556544759822
LULC_BUILT_COV,0.20600534975528717,0.08683329183458127,0.07025932578408006,2.78990352948102
LULC_RANGE_COV,0.042820706963539124,0.001655451081072994,0.0011820479274027296,1.048812572785949
LULC_WETLAND_COV,0.027859091758728027,0.00022099515888350483,0.00011706064978085351,1.017210751506986
