,BUILD_COV,BUILD_DEN,BUILD_H_MEAN,BUILD_H_MAX,ROAD_DEN,ELEV_MEAN,NDVI,NDBI,NDWI,LULC_WATER_COV,LULC_TREE_COV,LULC_CROP_COV,LULC_BUILT_COV,LULC_RANGE_COV,LULC_WETLAND_COV,LULC_BARE_COV,NTL_MEAN,POP_DEN_WORLDPOP2020,POP_DEN_LANDSCAN2020,POP_DEN_LANDSCAN2023
BUILD_COV,1.0,0.701989280229431,0.5926202069162236,0.6238127826520145,0.26058110882889396,-0.07664154603120758,-0.2092434088400791,0.6474834040844868,0.10319068722860798,-0.11280638302990807,-0.10262408932995791,-0.4902165145335061,0.6949330522747734,0.047481582232974766,-0.05882397414035091,,0.2894820688119101,0.33657356988932674,0.28158768077493945,0.29773944204693903
BUILD_DEN,0.701989280229431,1.0,0.3900841101994352,0.4503210775053055,0.2845362431575322,-0.06662137649513473,-0.1513659171730257,0.5609559564805682,0.05182121781199627,-0.10049091833008235,-0.08978371207130588,-0.42843321127448036,0.6178564558114509,-0.017608577770519794,-0.052702674814753755,,0.19482300449725987,0.2896808534845701,0.25322141354653327,0.26816604537998845
BUILD_H_MEAN,0.5926202069162236,0.3900841101994352,1.0,0.9822838825153821,0.2516552301809852,-0.06224028886338854,-0.1486017985193163,0.47726427052859394,0.06830934637646222,-0.09440218995359023,-0.0817885335286851,-0.383563561176069,0.5512183691205115,0.022696460862997567,-0.04956732974692728,,0.36051986512993434,0.4095014628543195,0.339405258651353,0.35664214239091935
BUILD_H_MAX,0.6238127826520145,0.4503210775053055,0.9822838825153821,1.0,0.2646878225912202,-0.06449608204419328,-0.15658496910092015,0.5021322641535559,0.07173139047366547,-0.09742194987479748,-0.0848297965386804,-0.4027140856079674,0.5777409149643051,0.01869842429803502,-0.05116306213983387,,0.3669837552243472,0.4243050421520004,0.3512919693713962,0.36874566456441277
ROAD_DEN,0.26058110882889396,0.2845362431575322,0.2516552301809852,0.2646878225912202,1.0,-0.07823476233412759,-0.09740995894840256,0.3941453885111626,0.026704158854909656,-0.12521816411516976,-0.10903960646957157,-0.266415360539645,0.4578014209606757,-0.012155812811778053,-0.06232255851062434,,0.26711216210611893,0.27750144061220083,0.22629205417761888,0.2379237406815975
ELEV_MEAN,-0.07664154603120758,-0.06662137649513473,-0.06224028886338854,-0.06449608204419328,-0.07823476233412759,1.0,0.2687021284576876,-0.11827968195690987,-0.25067938668143275,-0.05707883540642855,0.7007056930692773,-0.22664960242407645,-0.10018363671999966,0.02747221310776663,-0.02641034366779076,,-0.13266006986319728,-0.08444723805509019,-0.07421010247002269,-0.0773136178113686
NDVI,-0.2092434088400791,-0.1513659171730257,-0.1486017985193163,-0.15658496910092015,-0.09740995894840256,0.2687021284576876,1.0,-0.30981961762340443,-0.9716283990589025,-0.5232546710541428,0.3093044132168031,0.341844169735913,-0.23525067786363207,0.012205389125369698,-0.15589312493581797,,-0.15480400803272729,-0.14797045405740342,-0.1173317157366864,-0.1235461861909927
NDBI,0.6474834040844868,0.5609559564805682,0.47726427052859394,0.5021322641535559,0.3941453885111626,-0.11827968195690987,-0.30981961762340443,1.0,0.1842142198877769,-0.04618571954672516,-0.15440896875034577,-0.5360850685116156,0.7278747524306085,0.04434674399788999,-0.014746981467227511,,0.3701649214066628,0.3700300597169424,0.30618540578959563,0.32481880300970867
NDWI,0.10319068722860798,0.05182121781199627,0.06830934637646222,0.07173139047366547,0.026704158854909656,-0.25067938668143275,-0.9716283990589025,0.1842142198877769,1.0,0.6159366181753253,-0.28429267285421317,-0.2969721443310105,0.11249728464408595,-0.01743776191972191,0.1777308005101018,,0.10829791419317139,0.0942931844070417,0.07294654257543368,0.0766914000435206
LULC_WATER_COV,-0.11280638302990807,-0.10049091833008235,-0.09440218995359023,-0.09742194987479748,-0.12521816411516976,-0.05707883540642855,-0.5232546710541428,-0.04618571954672516,0.6159366181753253,1.0,-0.06176847712054906,-0.3289976714388118,-0.1393344223245011,-0.022893975232052766,0.00567965141104469,,-0.042473828425829696,-0.06781819541453575,-0.046954205239927375,-0.04804893775366112
LULC_TREE_COV,-0.10262408932995791,-0.08978371207130588,-0.0817885335286851,-0.0848297965386804,-0.10903960646957157,0.7007056930692773,0.3093044132168031,-0.15440896875034577,-0.28429267285421317,-0.06176847712054906,1.0,-0.33687219720043765,-0.13500039232171213,0.006982368075550713,-0.0325940542606574,,-0.15729435944079975,-0.10338907890520228,-0.09173521909868465,-0.0952461057900256
LULC_CROP_COV,-0.4902165145335061,-0.42843321127448036,-0.383563561176069,-0.4027140856079674,-0.266415360539645,-0.22664960242407645,0.341844169735913,-0.5360850685116156,-0.2969721443310105,-0.3289976714388118,-0.33687219720043765,1.0,-0.7135466523840791,-0.1009323303982107,-0.1726278767352719,,-0.23976153976565612,-0.2791847668323892,-0.22831592492472672,-0.24193884662140155
LULC_BUILT_COV,0.6949330522747734,0.6178564558114509,0.5512183691205115,0.5777409149643051,0.4578014209606757,-0.10018363671999966,-0.23525067786363207,0.7278747524306085,0.11249728464408595,-0.1393344223245011,-0.13500039232171213,-0.7135466523840791,1.0,-0.024780128648975653,-0.07193986498772205,,0.4011348731898211,0.42884022430252433,0.3538964223622771,0.37241142591086296
