,BUILD_COV,BUILD_DEN,BUILD_H_MEAN,BUILD_H_MAX,ROAD_DEN,ELEV_MEAN,NDVI,NDBI,NDWI,LULC_WATER_COV,LULC_TREE_COV,LULC_CROP_COV,LULC_BUILT_COV,LULC_RANGE_COV,LULC_WETLAND_COV,LULC_BARE_COV,NTL_MEAN,POP_DEN_WORLDPOP2020,POP_DEN_LANDSCAN2020,POP_DEN_LANDSCAN2023
BUILD_COV,1.0,0.8260702780388719,0.924866160162199,0.9285863131374141,0.3699278087447203,0.06592601609086436,-0.2632722580793067,0.5995538062866748,0.17989206935027463,-0.14831150876686972,-0.11404998349763622,-0.4975043327662573,0.716863642114146,0.03641947736217088,-0.08019427985903664,,0.29524939424413105,0.3721441045623365,0.3064505229427455,0.37179709424930535
BUILD_DEN,0.8260702780388719,1.0,0.8749375425143994,0.8829975650612394,0.36342259302757673,0.07650664328440526,-0.19107271505326856,0.5369065586120425,0.1117424057513487,-0.14620273503243492,-0.10758397766776481,-0.42753810537037357,0.6417787280442908,0.0015461508752702838,-0.07793781468824575,,0.23909602726288542,0.31884525957989823,0.27105403010155826,0.3403444023254193
BUILD_H_MEAN,0.924866160162199,0.8749375425143994,1.0,0.9985372607315183,0.3917866532501291,0.07591339438915128,-0.23975405690220117,0.6013826495561714,0.15599895020252877,-0.15947099453364114,-0.11912095967160055,-0.48789026847348577,0.7211958155264288,0.034586096886231175,-0.08573004014055478,,0.3048081694103216,0.3819681337567156,0.31835491760904255,0.38600288130060906
BUILD_H_MAX,0.9285863131374141,0.8829975650612394,0.9985372607315183,1.0,0.394908648081117,0.07499760665664494,-0.24331701550327117,0.6049062270356095,0.15887772009363307,-0.15964309031000748,-0.11979446546214444,-0.491790066369676,0.7255029889371597,0.03312639160060307,-0.08574455875174902,,0.3072701313786763,0.3852954904310637,0.32073705304298944,0.3888194902006462
ROAD_DEN,0.3699278087447203,0.36342259302757673,0.3917866532501291,0.394908648081117,1.0,0.02018873855978417,-0.1718669932196588,0.42129648535893666,0.12368003465247443,-0.15089117835374224,-0.12403771446236064,-0.2765902287167244,0.49177610111967573,-0.010626660165518203,-0.07971347015345885,,0.2717036542391703,0.31227661358044045,0.25210616931228547,0.2904844021866044
ELEV_MEAN,0.06592601609086436,0.07650664328440526,0.07591339438915128,0.07499760665664494,0.02018873855978417,1.0,0.4022150243864846,0.10649904748365793,-0.4618095783517237,-0.22535421511810141,0.41396245197871845,-0.11204004340000057,0.023407193805333085,0.0865667888180477,-0.07232446228689157,,-0.18467039852739972,-0.25170456535562974,-0.14740123150898218,-0.16068553531840346
NDVI,-0.2632722580793067,-0.19107271505326856,-0.23975405690220117,-0.24331701550327117,-0.1718669932196588,0.4022150243864846,1.0,-0.3942546047032084,-0.9769923587515309,-0.31210868389534624,0.3602482301429574,0.3042498013550907,-0.32261239768129424,0.021180373632476972,-0.12109272315532438,,-0.2334944497524881,-0.2419788283458485,-0.17632348434154008,-0.1823715939839209
NDBI,0.5995538062866748,0.5369065586120425,0.6013826495561714,0.6049062270356095,0.42129648535893666,0.10649904748365793,-0.3942546047032084,1.0,0.29583833671362114,-0.06045890294739176,-0.17500199801963917,-0.48931656810588675,0.6767253014615285,0.04983175985111248,-0.020410459393575275,,0.3593836078145986,0.361206471299081,0.2902881788575371,0.3610211108744671
NDWI,0.17989206935027463,0.1117424057513487,0.15599895020252877,0.15887772009363307,0.12368003465247443,-0.4618095783517237,-0.9769923587515309,0.29583833671362114,1.0,0.3527594349213307,-0.36933242611734224,-0.24364218117112968,0.24002698981657367,-0.03014394037791634,0.134917705075765,,0.20886561870925946,0.21546160413139104,0.15224745858266933,0.14891402285634447
LULC_WATER_COV,-0.14831150876686972,-0.14620273503243492,-0.15947099453364114,-0.15964309031000748,-0.15089117835374224,-0.22535421511810141,-0.31210868389534624,-0.06045890294739176,0.3527594349213307,1.0,-0.07117187449275279,-0.30960322126705314,-0.16545578312800108,-0.028985254011212554,0.1371211031516163,,-0.06806686367873835,-0.16445295189418185,-0.13286720800293123,-0.14008893163235764
LULC_TREE_COV,-0.11404998349763622,-0.10758397766776481,-0.11912095967160055,-0.11979446546214444,-0.12403771446236064,0.41396245197871845,0.3602482301429574,-0.17500199801963917,-0.36933242611734224,-0.07117187449275279,1.0,-0.3153863027488936,-0.15584888584313014,0.07492366349431394,-0.03956949251308715,,-0.3657698304876818,-0.36794746275878887,-0.3432439636495667,-0.3425550047517929
LULC_CROP_COV,-0.4975043327662573,-0.42753810537037357,-0.48789026847348577,-0.491790066369676,-0.2765902287167244,-0.11204004340000057,0.3042498013550907,-0.48931656810588675,-0.24364218117112968,-0.30960322126705314,-0.3153863027488936,1.0,-0.6932000783217006,-0.11173646145486973,-0.17111614526971528,,-0.13816034280502257,-0.1555830050548816,-0.07956015822180798,-0.13925679876078445
LULC_BUILT_COV,0.716863642114146,0.6417787280442908,0.7211958155264288,0.7255029889371597,0.49177610111967573,0.023407193805333085,-0.32261239768129424,0.6767253014615285,0.24002698981657367,-0.16545578312800108,-0.15584888584313014,-0.6932000783217006,1.0,0.003694505615013954,-0.0863042324865902,,0.42021011078076126,0.5050793773449074,0.3937633987043328,0.4651141274548464
LULC_RANGE_COV,0.03641947736217088,0.0015461508752702838,0.034586096886231175,0.03312639160060307,-0.010626660165518203,0.0865667888180477,0.021180373632476972,0.04983175985111248,-0.03014394037791634,-0.028985254011212554,0.07492366349431394,-0.11173646145486973,0.003694505615013954,1.0,-0.011955697050513655,,-0.023744409398368305,-0.03464290683367143,-0.034111429157683636,-0.03658902669240105
LULC_WETLAND_COV,-0.08019427985903664,-0.07793781468824575,-0.08573004014055478,-0.08574455875174902,-0.07971347015345885,-0.07232446228689157,-0.12109272315532438,-0.020410459393575275,0.134917705075765,0.1371211031516163,-0.03956949251308715,-0.17111614526971528,-0.0863042324865902,-0.011955697050513655,1.0,,-0.061341806723795085,-0.06368808744799463,-0.10314054201682757,-0.1038482400391295
LULC_BARE_COV,,,,,,,,,,,,,,,,,,,,
NTL_MEAN,0.29524939424413105,0.23909602726288542,0.3048081694103216,0.3072701313786763,0.2717036542391703,-0.18467039852739972,-0.2334944497524881,0.3593836078145986,0.20886561870925946,-0.06806686367873835,-0.3657698304876818,-0.13816034280502257,0.42021011078076126,-0.023744409398368305,-0.061341806723795085,,1.0,0.7914943072239194,0.5948596352255905,0.6183004858051024
POP_DEN_WORLDPOP2020,0.3721441045623365,0.31884525957989823,0.3819681337567156,0.3852954904310637,0.31227661358044045,-0.25170456535562974,-0.2419788283458485,0.361206471299081,0.21546160413139104,-0.16445295189418185,-0.36794746275878887,-0.1555830050548816,0.5050793773449074,-0.03464290683367143,-0.06368808744799463,,0.7914943072239194,1.0,0.6465822036886103,0.6845583955067679
POP_DEN_LANDSCAN2020,0.3064505229427455,0.27105403010155826,0.31835491760904255,0.32073705304298944,0.25210616931228547,-0.14740123150898218,-0.17632348434154008,0.2902881788575371,0.15224745858266933,-0.13286720800293123,-0.3432439636495667,-0.07956015822180798,0.3937633987043328,-0.034111429157683636,-0.10314054201682757,,0.5948596352255905,0.6465822036886103,1.0,0.8481501625588933
POP_DEN_LANDSCAN2023,0.37179709424930535,0.3403444023254193,0.38600288130060906,0.3888194902006462,0.2904844021866044,-0.16068553531840346,-0.1823715939839209,0.3610211108744671,0.14891402285634447,-0.14008893163235764,-0.3425550047517929,-0.13925679876078445,0.4651141274548464,-0.03658902669240105,-0.1038482400391295,,0.6183004858051024,0.6845583955067679,0.8481501625588933,1.0
