feature,linear_abs_standardized_coefficient,random_forest_importance,permutation_importance,vif
BUILD_COV,0.10768541693687439,0.002086609294411087,0.00034714709376594267,3.092745405275868
BUILD_DEN,0.02257952094078064,0.002556981462718793,0.0008518134377232478,2.2181510295885403
BUILD_H_MEAN,0.011589735746383667,0.00794892952353374,0.005486835353236663,1.7429664102273215
ROAD_DEN,0.03766856715083122,0.006740861097455981,0.0017674581096563502,1.3302907595817246
ELEV_MEAN,0.1110164225101471,0.08023180603082312,0.16372794551634784,1.9787003206899192
POP_DEN_LANDSCAN2023,0.06793344020843506,0.04254135268934741,0.06633324000895299,1.568667960268902
NTL_MEAN,0.1187233179807663,0.06277201406197759,0.11534060396682774,1.6575595429869694
NDVI,0.40605589747428894,0.054457011502165975,0.07025751197043709,31.673889813965253
NDBI,0.22983872890472412,0.15083178503205535,0.3515633511277501,2.6694424140091653
NDWI,0.44424134492874146,0.10106103995101591,0.11078306813149344,33.9508420315605
LULC_WATER_COV,0.21267318725585938,0.006469322995149785,0.009611318790687617,2.0375090172913395
LULC_TREE_COV,0.055481892079114914,0.0014195683081939026,0.0016620594197961913,2.046518572371318
LULC_BUILT_COV,0.2755134105682373,0.47540545461224104,0.16387717459639234,3.21776593600263
LULC_RANGE_COV,0.034478094428777695,0.0008602411570191715,0.0005111178570880281,1.019953119358512
LULC_WETLAND_COV,0.055079665035009384,0.004617022281891157,0.009088131154935763,1.117595632899908
