,BUILD_COV,BUILD_DEN,BUILD_H_MEAN,BUILD_H_MAX,ROAD_DEN,ELEV_MEAN,NDVI,NDBI,NDWI,LULC_WATER_COV,LULC_TREE_COV,LULC_CROP_COV,LULC_BUILT_COV,LULC_RANGE_COV,LULC_WETLAND_COV,LULC_BARE_COV,NTL_MEAN,POP_DEN_WORLDPOP2020,POP_DEN_LANDSCAN2020,POP_DEN_LANDSCAN2023
BUILD_COV,1.0,0.7033962001830326,0.5781809848376357,0.6121253269100793,0.26042692905233844,-0.07643032271147397,-0.20930467706088665,0.652667716536563,0.10356804667753634,-0.11515657231892676,-0.10370822880637486,-0.4926721091138743,0.6977531655962421,0.04565446351368865,-0.05856099891649938,,0.29064425183832665,0.3400202276166178,0.2789562556313679,0.29302942873946014
BUILD_DEN,0.7033962001830326,1.0,0.37106290964566374,0.43088337085077383,0.28037465293167246,-0.06669076141283366,-0.1520702163571392,0.5677364628782245,0.05161911769134935,-0.10220309497821918,-0.09032098670362314,-0.43308110596024,0.6219031543297954,-0.01608080611196938,-0.052337032385033753,,0.191565270908365,0.2937664867328473,0.2500557149197678,0.26110118989966435
BUILD_H_MEAN,0.5781809848376357,0.37106290964566374,1.0,0.9849703230826212,0.23589114062634667,-0.060092300968182945,-0.14576546500830417,0.46242210734387457,0.06888394312139792,-0.09224995918119808,-0.08006925079419555,-0.3736491488571933,0.5350691640081621,0.02435531357267614,-0.04746417780109009,,0.3558708229204617,0.4145396194776998,0.33739432135758535,0.35277923182933946
BUILD_H_MAX,0.6121253269100793,0.43088337085077383,0.9849703230826212,1.0,0.2507702483965744,-0.06272265023107776,-0.15469165284709926,0.49018403538380567,0.07271777540835872,-0.09599071192696025,-0.08374923549012366,-0.3949866021891895,0.564660488086366,0.02162290693841267,-0.04939166053180104,,0.36425326898697286,0.43316364244640193,0.35164696328129164,0.36741744716297386
ROAD_DEN,0.26042692905233844,0.28037465293167246,0.23589114062634667,0.2507702483965744,1.0,-0.07947243881695432,-0.09328013844201763,0.3919160982821352,0.023464226401443435,-0.12615076867079617,-0.11004750478785835,-0.2630767558773237,0.4532199103860183,-0.01283126306144,-0.06195928796135183,,0.2634618383230532,0.27071284881731017,0.22687670206267807,0.23683517928882777
ELEV_MEAN,-0.07643032271147397,-0.06669076141283366,-0.060092300968182945,-0.06272265023107776,-0.07947243881695432,1.0,0.267177959256077,-0.12041143736023069,-0.24917149939536629,-0.056028844192958796,0.6918521500148923,-0.22120939273330897,-0.0998785596094618,0.02574315181718221,-0.025814724989080218,,-0.1312477979153,-0.08412656792763104,-0.07272029683539889,-0.07526309713602976
NDVI,-0.20930467706088665,-0.1520702163571392,-0.14576546500830417,-0.15469165284709926,-0.09328013844201763,0.267177959256077,1.0,-0.31062521067779636,-0.9718900096712226,-0.5256548193847359,0.3094409501117,0.34524338847430613,-0.2352460527704549,0.009994115144019674,-0.16099184595610116,,-0.15525593572334617,-0.14794925710944765,-0.11758618343013603,-0.12359197388370442
NDBI,0.652667716536563,0.5677364628782245,0.46242210734387457,0.49018403538380567,0.3919160982821352,-0.12041143736023069,-0.31062521067779636,1.0,0.18457354532306136,-0.047729398099247415,-0.15787814216515053,-0.5413202531897036,0.7329728966663474,0.04404471572410646,-0.009189627695563023,,0.36985863184480605,0.3710959741473062,0.3020673854415289,0.31905010778051107
NDWI,0.10356804667753634,0.05161911769134935,0.06888394312139792,0.07271777540835872,0.023464226401443435,-0.24917149939536629,-0.9718900096712226,0.18457354532306136,1.0,0.6179907111976487,-0.2845776367995369,-0.29929553761566996,0.1122960482529288,-0.014684977578548638,0.1814658160424801,,0.11024345758600382,0.09534301180091037,0.0748667704868342,0.07847715694916431
LULC_WATER_COV,-0.11515657231892676,-0.10220309497821918,-0.09224995918119808,-0.09599071192696025,-0.12615076867079617,-0.056028844192958796,-0.5256548193847359,-0.047729398099247415,0.6179907111976487,1.0,-0.06156412616261316,-0.32787647455250574,-0.14086557750680587,-0.022106282423669996,0.006765912655209671,,-0.04220864257295391,-0.0669053914297027,-0.046657774460967034,-0.04746220222868285
LULC_TREE_COV,-0.10370822880637486,-0.09032098670362314,-0.08006925079419555,-0.08374923549012366,-0.11004750478785835,0.6918521500148923,0.3094409501117,-0.15787814216515053,-0.2845776367995369,-0.06156412616261316,1.0,-0.33454278730519976,-0.1356166520589526,0.008730790905487843,-0.031361993990601335,,-0.1561234883909547,-0.10371880826958055,-0.09007303560296802,-0.09289987163964593
LULC_CROP_COV,-0.4926721091138743,-0.43308110596024,-0.3736491488571933,-0.3949866021891895,-0.2630767558773237,-0.22120939273330897,0.34524338847430613,-0.5413202531897036,-0.29929553761566996,-0.32787647455250574,-0.33454278730519976,1.0,-0.716006507167845,-0.09968943968801086,-0.17165958425984168,,-0.23906195999151825,-0.275889711379218,-0.2233503431973903,-0.23605324215322215
