feature,linear_abs_standardized_coefficient,random_forest_importance,permutation_importance,vif
BUILD_COV,0.10112054646015167,0.0019231430448476228,0.0004971133288461993,3.107895011297165
BUILD_DEN,0.01672971248626709,0.002174269992098512,0.0007379302238797014,2.4168380438283767
BUILD_H_MEAN,0.07136368751525879,0.004772737725395309,0.0016050595207337092,38.14520775308361
BUILD_H_MAX,0.10303738713264465,0.005565206198073713,0.002601988534850297,40.77573271179314
ROAD_DEN,0.03115297108888626,0.00602196353199572,0.0015566719133770722,1.3227073453265559
ELEV_MEAN,0.11277864128351212,0.08182577975044114,0.1440456705491278,1.95420120477044
POP_DEN_WORLDPOP2020,0.12264811992645264,0.08165439039448118,0.1425181555581163,1.925836118587368
NTL_MEAN,0.0926215872168541,0.03921611299794837,0.0717623678140091,1.8660841323159745
NDVI,0.40532806515693665,0.07810285710082175,0.07967704342283036,32.240688427938366
NDBI,0.24066945910453796,0.14025403339423298,0.3129689150909245,2.746631462039773
NDWI,0.440550297498703,0.07168114277063765,0.07349807945852002,34.5649023554595
LULC_WATER_COV,0.21292634308338165,0.006249120664315829,0.007558162575743399,2.069238234866431
LULC_TREE_COV,0.056848909705877304,0.0014706781055819642,0.0016085188873899425,2.025435872968886
LULC_BUILT_COV,0.26678743958473206,0.47333644983089945,0.12158144345102344,3.2481930621952135
LULC_RANGE_COV,0.03277731314301491,0.0007154753040318888,0.00016525641094887743,1.0186603644154828
LULC_WETLAND_COV,0.04392582178115845,0.005036639194197008,0.009799458287873009,1.0986628730531924
