feature,linear_abs_standardized_coefficient,random_forest_importance,permutation_importance,vif
BUILD_COV,0.1587873250246048,0.009912808251740502,0.017218520887117495,2.9595678525601334
BUILD_DEN,0.011273443698883057,0.004493086002628863,0.0023824801087867554,2.2032465852547087
BUILD_H_MEAN,0.01943075656890869,0.01641489202464115,0.02698917010718771,1.7130473778061677
ROAD_DEN,0.05651293322443962,0.012013616978431249,0.008271273615156682,1.302376245186696
ELEV_MEAN,0.11349591612815857,0.11756175789895179,0.20938116092225992,1.9411179061511599
POP_DEN_WORLDPOP2020,0.11793655157089233,0.12970444381270224,0.22405726935664116,1.9103851100965235
NTL_MEAN,0.10927752405405045,0.07819697547557747,0.17035880585327098,1.8458980485906022
LULC_WATER_COV,0.2508593797683716,0.0742553476716489,0.08476761508586085,1.035668272136561
LULC_TREE_COV,0.06425702571868896,0.0029793670825317246,0.007141721019958825,1.9701953224405024
LULC_BUILT_COV,0.39945998787879944,0.5389974354766635,0.39492598911341953,2.688272986705422
LULC_RANGE_COV,0.04616700857877731,0.005518621695775169,0.004092567358775401,1.0130227019951044
LULC_WETLAND_COV,0.04281746596097946,0.009951647628707445,0.02186176841455696,1.0097679056351931
