,BUILD_COV,BUILD_DEN,BUILD_H_MEAN,BUILD_H_MAX,ROAD_DEN,ELEV_MEAN,NDVI,NDBI,NDWI,LULC_WATER_COV,LULC_TREE_COV,LULC_CROP_COV,LULC_BUILT_COV,LULC_RANGE_COV,LULC_WETLAND_COV,LULC_BARE_COV,NTL_MEAN,POP_DEN_WORLDPOP2020,POP_DEN_LANDSCAN2020,POP_DEN_LANDSCAN2023
BUILD_COV,1.0,0.7066973019479329,0.5890811007796977,0.6239091102453037,0.264552152728632,-0.07564006492854679,-0.20860623371876932,0.6563715362929166,0.10201001355986335,-0.14358165588492722,-0.12036970585219597,-0.37195622066746076,0.5247508349181309,-0.049967524208238225,-0.008889052708271426,-0.015142790235928846,0.29541559916319987,0.34268541793217844,0.28579028085252095,0.30084371866953563
BUILD_DEN,0.7066973019479329,1.0,0.38243460717064337,0.44530719638384647,0.2835947714094364,-0.06677111311074677,-0.15099665058950834,0.5701246430219337,0.05014117710712694,-0.1273698893189464,-0.10747995568392153,-0.32655269032007733,0.4624057615234077,-0.043986280361146525,-0.007948569529800666,-0.013483723028157597,0.2039288361658655,0.29296179769053177,0.25827955926049734,0.2707776051084401
BUILD_H_MEAN,0.5890811007796977,0.38243460717064337,1.0,0.9878091321782327,0.2434134514124814,-0.06010359615272071,-0.14569118851699017,0.4708465799866306,0.06673591845174542,-0.11509546088674989,-0.0964423007507432,-0.3023722665204867,0.4248953532668595,-0.04043512824652736,-0.007265688520300125,-0.012293090414411427,0.36095985626869537,0.4152784408788425,0.33555713993018965,0.3532398212475463
BUILD_H_MAX,0.6239091102453037,0.44530719638384647,0.9878091321782327,1.0,0.25897431820887623,-0.06294776257399924,-0.15445459779496504,0.4994945731042477,0.07032484352187923,-0.1203856706936943,-0.10075147112910864,-0.3156794773399508,0.4437374241546614,-0.04211949170100391,-0.00756032110138456,-0.01281169274751585,0.3694598539722666,0.43121486434677564,0.3490206188919817,0.36735259939216847
ROAD_DEN,0.264552152728632,0.2835947714094364,0.2434134514124814,0.25897431820887623,1.0,-0.08082785713519874,-0.09263639365895625,0.39698730499180124,0.021977807687484658,-0.14269298347589654,-0.12497639768937517,-0.2641995349295538,0.41849342847149945,-0.0452696037409465,-0.010167532514667062,-0.015291885193708572,0.26869761224093724,0.27414568290318214,0.227397890673863,0.23868870388249389
ELEV_MEAN,-0.07564006492854679,-0.06677111311074677,-0.06010359615272071,-0.06294776257399924,-0.08082785713519874,1.0,0.268603574767594,-0.12089191058484894,-0.25036175274419276,-0.0661131057679255,0.6290537727651797,-0.15971310800728597,-0.11857699575261808,-0.0025207371399831972,-0.00022431492268762046,-0.0048315478868430455,-0.13293663128550146,-0.08457464113851657,-0.07427101544627455,-0.07723912278613322
NDVI,-0.20860623371876932,-0.15099665058950834,-0.14569118851699017,-0.15445459779496504,-0.09263639365895625,0.268603574767594,1.0,-0.307954840611082,-0.9719719787113582,-0.4208122888949168,0.33697694042853005,0.06343126933253058,0.0016775268045044775,0.06822342601113682,0.015346239099097748,-0.06082054671818557,-0.1549930625591339,-0.14606591915685982,-0.11718245859904065,-0.1226848428559172
NDBI,0.6563715362929166,0.5701246430219337,0.4708465799866306,0.4994945731042477,0.39698730499180124,-0.12089191058484894,-0.307954840611082,1.0,0.18337544106098158,-0.05482044099822029,-0.183775910123444,-0.48229622519727755,0.6033180343615135,-0.009307756855787122,0.00015402044990550426,0.04177972012790397,0.374922975449283,0.373266990744365,0.30959919819001014,0.3271029447455023
NDWI,0.10201001355986335,0.05014117710712694,0.06673591845174542,0.07032484352187923,0.021977807687484658,-0.25036175274419276,-0.9719719787113582,0.18337544106098158,1.0,0.5250530713116827,-0.30654601868329395,-0.039901321919232964,-0.10194980115437086,-0.06239015923508521,-0.014211717687368309,0.05956347109341639,0.10784622554317376,0.09162278002899346,0.07254679424213775,0.07566683378627058
LULC_WATER_COV,-0.14358165588492722,-0.1273698893189464,-0.11509546088674989,-0.1203856706936943,-0.14269298347589654,-0.0661131057679255,-0.4208122888949168,-0.05482044099822029,0.5250530713116827,1.0,-0.08378111892469606,-0.26133262810486896,-0.27200564816889367,-0.028742900567861128,3.018855933581076e-05,-0.006784381790457408,-0.06995906623498147,-0.08354077676288117,-0.06209089596960592,-0.06380529282622611
LULC_TREE_COV,-0.12036970585219597,-0.10747995568392153,-0.0964423007507432,-0.10075147112910864,-0.12497639768937517,0.6290537727651797,0.33697694042853005,-0.183775910123444,-0.30654601868329395,-0.08378111892469606,1.0,-0.2237509804171268,-0.22758286730449467,-0.020678066786478908,-0.0005008220692261191,-0.009036331505524174,-0.15482835764995576,-0.107075609738457,-0.09533508798695348,-0.09986982678666324
