,BUILD_COV,BUILD_DEN,BUILD_H_MEAN,BUILD_H_MAX,ROAD_DEN,ELEV_MEAN,NDVI,NDBI,NDWI,LULC_WATER_COV,LULC_TREE_COV,LULC_CROP_COV,LULC_BUILT_COV,LULC_RANGE_COV,LULC_WETLAND_COV,LULC_BARE_COV,NTL_MEAN,POP_DEN_WORLDPOP2020,POP_DEN_LANDSCAN2020,POP_DEN_LANDSCAN2023
BUILD_COV,1.0,0.8304801282048351,0.92617494477266,0.9301129145676942,0.3751151402876813,0.07603407104353638,-0.26561133951597826,0.6062993221698811,0.18082779226168652,-0.17339374152995646,-0.14865621747338303,-0.4462110330906442,0.6150032463966447,-0.07024365139444791,-0.013857517930325603,-0.020525971663836552,0.2970724273472688,0.373335707570113,0.3088253360819767,0.37345794938417676
BUILD_DEN,0.8304801282048351,1.0,0.8767677682376835,0.8849784376193209,0.36495182062301057,0.08449336636537197,-0.19292209247679562,0.5421688599238588,0.11246399326608492,-0.16267073361899265,-0.1442596212244118,-0.414876526707551,0.5792637512136906,-0.06664803228433475,-0.013789171826575856,-0.01981404211578978,0.2418817488730758,0.3197215841375937,0.2737185618000567,0.3433915550490718
BUILD_H_MEAN,0.92617494477266,0.8767677682376835,1.0,0.998489748956349,0.39527311336414656,0.0859286145489955,-0.24018837387297326,0.6055452147576486,0.15526885055802325,-0.17921453707661747,-0.15637519553934212,-0.4619808429958431,0.6413198482160957,-0.07293095518486498,-0.0150185380821237,-0.021885048298567078,0.30659380170105727,0.3825186561535109,0.3202613449694438,0.38762812029756855
BUILD_H_MAX,0.9301129145676942,0.8849784376193209,0.998489748956349,1.0,0.39804151954952066,0.08483708451254733,-0.2438859688363092,0.6090804496949653,0.15828603193738422,-0.17979592140466413,-0.15676943468866877,-0.4626840073193467,0.642282979490845,-0.07301172623651071,-0.015056031122329398,-0.02191266564965991,0.30909334850429143,0.3858236546756396,0.3228207701734661,0.3905423052434379
ROAD_DEN,0.3751151402876813,0.36495182062301057,0.39527311336414656,0.39804151954952066,1.0,0.021586876167926452,-0.1705426097835535,0.4218413062391587,0.12237691250056174,-0.16014779899372136,-0.14453144950211633,-0.2919501571533545,0.4626876195624893,-0.05632686995582373,-0.014003456512813236,-0.018251670421817634,0.27157705907763696,0.31172953501558215,0.2528940480200924,0.29233843251027053
ELEV_MEAN,0.07603407104353638,0.08449336636537197,0.0859286145489955,0.08483708451254733,0.021586876167926452,1.0,0.3991781629330181,0.10827777356544703,-0.4588046288830109,-0.1720038008944951,0.3987774060948049,-0.2731440007867295,0.16470069614650298,0.03650076120378496,0.026251698265299214,0.011157975542157724,-0.17937547376918833,-0.24038097264845731,-0.1467495057409778,-0.15853781723766122
NDVI,-0.26561133951597826,-0.19292209247679562,-0.24018837387297326,-0.2438859688363092,-0.1705426097835535,0.3991781629330181,1.0,-0.3954953722069375,-0.9769884181891458,-0.21705769427270077,0.39621423326426053,0.03695855348434274,-0.0849686256378903,0.09094576611820301,0.024815085021229637,-0.052638356128062586,-0.22989179471285387,-0.23784195716108156,-0.17136828846111427,-0.1785246255362604
NDBI,0.6062993221698811,0.5421688599238588,0.6055452147576486,0.6090804496949653,0.4218413062391587,0.10827777356544703,-0.3954953722069375,1.0,0.2978872936493155,-0.04277863155101639,-0.21631648734472048,-0.49459772019029136,0.6122925126949856,-0.009090534395742516,-0.0009512484193302395,0.042375159413433616,0.36264713015458483,0.3654847066483958,0.28815557239686485,0.3583401980591825
NDWI,0.18082779226168652,0.11246399326608492,0.15526885055802325,0.15828603193738422,0.12237691250056174,-0.4588046288830109,-0.9769884181891458,0.2978872936493155,1.0,0.27781409502542637,-0.4003035961715345,0.0171485623432043,0.0035932042695885702,-0.0885595972568689,-0.02527802057588417,0.05134192722586776,0.20502205652602393,0.2106038156903746,0.14730133572335752,0.14560167998761608
LULC_WATER_COV,-0.17339374152995646,-0.16267073361899265,-0.17921453707661747,-0.17979592140466413,-0.16014779899372136,-0.1720038008944951,-0.21705769427270077,-0.04277863155101639,0.27781409502542637,1.0,-0.06405651367199507,-0.23472844962549164,-0.2571519429866906,-0.002164826513619894,0.028839100145861597,0.015328328286492995,-0.0873479721895535,-0.1738232375307238,-0.14207344675251046,-0.13719248930405326
LULC_TREE_COV,-0.14865621747338303,-0.1442596212244118,-0.15637519553934212,-0.15676943468866877,-0.14453144950211633,0.3987774060948049,0.39621423326426053,-0.21631648734472048,-0.4003035961715345,-0.06405651367199507,1.0,-0.2187009136252085,-0.21956618125378888,0.02047026058597424,0.020778860376194818,-0.008521062148400826,-0.32372011830390257,-0.3443389813042687,-0.31205389414677104,-0.3225478050752689
LULC_CROP_COV,-0.4462110330906442,-0.414876526707551,-0.4619808429958431,-0.4626840073193467,-0.2919501571533545,-0.2731440007867295,0.03695855348434274,-0.49459772019029136,0.0171485623432043,-0.23472844962549164,-0.2187009136252085,1.0,-0.7112804448301853,-0.0666104757186724,-0.02130942114060655,-0.03220888449198779,-0.19629969795136165,-0.16899786842193543,-0.10958317217502593,-0.18726844695470946
LULC_BUILT_COV,0.6150032463966447,0.5792637512136906,0.6413198482160957,0.642282979490845,0.4626876195624893,0.16470069614650298,-0.0849686256378903,0.6122925126949856,0.0035932042695885702,-0.2571519429866906,-0.21956618125378888,-0.7112804448301853,1.0,-0.07166475017205466,-0.02124139264922506,-0.02788534137928074,0.41045525563769175,0.4534883181038198,0.36467541945486376,0.445748965008941
LULC_RANGE_COV,-0.07024365139444791,-0.06664803228433475,-0.07293095518486498,-0.07301172623651071,-0.05632686995582373,0.03650076120378496,0.09094576611820301,-0.009090534395742516,-0.0885595972568689,-0.002164826513619894,0.02047026058597424,-0.0666104757186724,-0.07166475017205466,1.0,0.031048958018556744,0.07294149402067877,0.033274373446168154,0.007091976255021496,-0.01372257464543899,-0.018675194797347455
LULC_WETLAND_COV,-0.013857517930325603,-0.013789171826575856,-0.0150185380821237,-0.015056031122329398,-0.014003456512813236,0.026251698265299214,0.024815085021229637,-0.0009512484193302395,-0.02527802057588417,0.028839100145861597,0.020778860376194818,-0.02130942114060655,-0.02124139264922506,0.031048958018556744,1.0,-0.001024402156272485,-0.027804264495803113,-0.03090230836850288,-0.027726987381068196,-0.030808591444134135
LULC_BARE_COV,-0.020525971663836552,-0.01981404211578978,-0.021885048298567078,-0.02191266564965991,-0.018251670421817634,0.011157975542157724,-0.052638356128062586,0.042375159413433616,0.05134192722586776,0.015328328286492995,-0.008521062148400826,-0.03220888449198779,-0.02788534137928074,0.07294149402067877,-0.001024402156272485,1.0,-0.029698385040962318,-0.010389531862963914,-0.031568590618636524,-0.030325639256526482
NTL_MEAN,0.2970724273472688,0.2418817488730758,0.30659380170105727,0.30909334850429143,0.27157705907763696,-0.17937547376918833,-0.22989179471285387,0.36264713015458483,0.20502205652602393,-0.0873479721895535,-0.32372011830390257,-0.19629969795136165,0.41045525563769175,0.033274373446168154,-0.027804264495803113,-0.029698385040962318,1.0,0.79030096564069,0.5958755827909975,0.6190206743311581
POP_DEN_WORLDPOP2020,0.373335707570113,0.3197215841375937,0.3825186561535109,0.3858236546756396,0.31172953501558215,-0.24038097264845731,-0.23784195716108156,0.3654847066483958,0.2106038156903746,-0.1738232375307238,-0.3443389813042687,-0.16899786842193543,0.4534883181038198,0.007091976255021496,-0.03090230836850288,-0.010389531862963914,0.79030096564069,1.0,0.6450603106527516,0.6813764845228788
POP_DEN_LANDSCAN2020,0.3088253360819767,0.2737185618000567,0.3202613449694438,0.3228207701734661,0.2528940480200924,-0.1467495057409778,-0.17136828846111427,0.28815557239686485,0.14730133572335752,-0.14207344675251046,-0.31205389414677104,-0.10958317217502593,0.36467541945486376,-0.01372257464543899,-0.027726987381068196,-0.031568590618636524,0.5958755827909975,0.6450603106527516,1.0,0.849001411031587
POP_DEN_LANDSCAN2023,0.37345794938417676,0.3433915550490718,0.38762812029756855,0.3905423052434379,0.29233843251027053,-0.15853781723766122,-0.1785246255362604,0.3583401980591825,0.14560167998761608,-0.13719248930405326,-0.3225478050752689,-0.18726844695470946,0.445748965008941,-0.018675194797347455,-0.030808591444134135,-0.030325639256526482,0.6190206743311581,0.6813764845228788,0.849001411031587,1.0
