feature,linear_abs_standardized_coefficient,random_forest_importance,permutation_importance,vif
BUILD_COV,0.080561064183712,0.001339660188844116,0.00023432222146855253,3.9453559828388514
BUILD_DEN,0.005218535661697388,0.0014071536074195647,0.00035533875730788813,3.267045444587615
BUILD_H_MAX,0.010950259864330292,0.005215149875331764,0.004062837809756592,2.891711063578216
ROAD_DEN,0.02137909084558487,0.00433789297917699,0.0011760588617767743,1.295812287049505
ELEV_MEAN,0.1780567467212677,0.05514771918191817,0.08599635612585298,1.8259911700091587
POP_DEN_WORLDPOP2020,0.07728762179613113,0.04837763174214323,0.06234701520674513,2.519141595947323
NTL_MEAN,0.11094552278518677,0.035218080259238047,0.0363982853907547,2.4766072349597907
NDVI,0.5660569667816162,0.11204404695770734,0.1162895269578291,24.95978100778077
NDBI,0.27862560749053955,0.14844016863572324,0.2731691060067562,2.456349156964942
NDWI,0.5326831340789795,0.025134588845394747,0.032022199706079536,25.99192536383889
LULC_WATER_COV,0.11099773645401001,0.02936196243445777,0.02070843427417356,1.5241115762128645
LULC_TREE_COV,0.11662070453166962,0.0032088955970201107,0.00292203345363079,2.087453170705609
LULC_BUILT_COV,0.26950907707214355,0.5295962412720175,0.14419865592862843,3.175568820203452
LULC_RANGE_COV,0.01196843758225441,0.00027276169061078985,0.00010513791830675245,1.0132605146393634
LULC_WETLAND_COV,0.04703134298324585,0.0008980467329966053,0.0006695489954493094,1.0434735448001204
