feature,linear_abs_standardized_coefficient,random_forest_importance,permutation_importance,vif
BUILD_COV,0.07729173451662064,0.0013393487732460939,0.00022274758043049346,3.9686317255578767
BUILD_DEN,0.003256559371948242,0.0014531874876584855,0.0004396451480558894,3.1819722549702387
BUILD_H_MEAN,0.002792924642562866,0.0051815207955732134,0.004204985704777531,2.4634381559735514
ROAD_DEN,0.021322134882211685,0.004349566621242507,0.0012084545006841418,1.2957372284601616
ELEV_MEAN,0.17800171673297882,0.05511591573441746,0.08596674341735741,1.8260118388302182
POP_DEN_WORLDPOP2020,0.07642175257205963,0.048397798338861625,0.06266269558408341,2.51730650321565
NTL_MEAN,0.1108742281794548,0.035248591476232466,0.03694388472293333,2.4764368817105895
NDVI,0.5653164982795715,0.11204076494783362,0.11635900044099916,24.956439472823014
NDBI,0.27853327989578247,0.14842682647930536,0.2732387901628221,2.456649847488186
NDWI,0.5315523743629456,0.02512136791570269,0.03213513326520114,25.98894589436637
LULC_WATER_COV,0.11113534867763519,0.02935994317392011,0.020669013745812193,1.5240484426236804
LULC_TREE_COV,0.11655551195144653,0.0032159386175762803,0.002924719282780175,2.0876059001202254
LULC_BUILT_COV,0.2678902745246887,0.529581814569202,0.14462475341160214,3.1755441766319525
LULC_RANGE_COV,0.011953625828027725,0.00027251721942924214,0.00010976946005571974,1.0132791185352197
LULC_WETLAND_COV,0.047046639025211334,0.0008948978497989107,0.0006659652058702892,1.04346893693858
