feature,linear_abs_standardized_coefficient,random_forest_importance,permutation_importance,vif
BUILD_COV,0.07892729617714567,0.0013295755236431338,0.00023151528877379812,3.9647175520511233
BUILD_DEN,0.003968244088313366,0.0014436060588378609,0.0004056749519128711,3.212415301723633
BUILD_H_PC1,0.006634043307077897,0.005169035988629388,0.004126689177808085,2.6817675304080684
ROAD_DEN,0.021347322344033935,0.00433630554565928,0.0011467024677154103,1.2957748795646806
ELEV_MEAN,0.17803021198835217,0.055144086784481156,0.0859902249843448,1.8260040662904418
POP_DEN_WORLDPOP2020,0.07684314385411666,0.04838484751829434,0.06262833184094202,2.518554683055553
NTL_MEAN,0.11090519015681694,0.03523976470648682,0.036703973389334586,2.4765291256609014
NDVI,0.5656668837286395,0.11203928560639284,0.11623720739870069,24.958293522386537
NDBI,0.2785883743900601,0.14843246566728105,0.27354103171233934,2.4564995567960652
NDWI,0.5321028780960017,0.025144406594030812,0.03212232772049249,25.9910915316038
LULC_WATER_COV,0.11106838178599529,0.02936082015122315,0.02067289559532387,1.5240887073370037
LULC_TREE_COV,0.11659494613023072,0.0032121692841848557,0.002920515795494871,2.087530259968537
LULC_BUILT_COV,0.2686909349902905,0.5295975704723779,0.14413190203748608,3.1770472589079204
LULC_RANGE_COV,0.011962513079492568,0.0002708119021523541,0.00010613940317482085,1.0132698852149278
LULC_WETLAND_COV,0.047040223408904826,0.0008952481963248407,0.0006667921210077976,1.04347096199354
