,BUILD_COV,BUILD_DEN,BUILD_H_MEAN,BUILD_H_MAX,ROAD_DEN,ELEV_MEAN,NDVI,NDBI,NDWI,LULC_WATER_COV,LULC_TREE_COV,LULC_CROP_COV,LULC_BUILT_COV,LULC_RANGE_COV,LULC_WETLAND_COV,LULC_BARE_COV,NTL_MEAN,POP_DEN_WORLDPOP2020,POP_DEN_LANDSCAN2020,POP_DEN_LANDSCAN2023
BUILD_COV,1.0,0.7291818900926877,0.6021658346244678,0.6517807249967829,-0.14686539899932533,-0.06381953756641204,-0.39222730070112044,0.6792771961178534,0.2802036460770673,-0.0671706464540838,-0.07222900167439508,-0.5764996817060589,0.6034650269330716,0.018629841206751856,-0.03327424772879192,,0.21479438712130478,0.2569555470764687,0.18263915697416735,0.1946732840371136
BUILD_DEN,0.7291818900926877,1.0,0.4776722502683671,0.5724627952722695,-0.09338586709952247,-0.06490195911282529,-0.3219066514751127,0.6262241546936658,0.19806113952949542,-0.06535537052139494,-0.06466958134942939,-0.5485407608121499,0.5785918698134299,-0.022880619241292168,-0.03214601875127133,,0.14145676605065205,0.21739529752507636,0.16699112267543928,0.17920933748307544
BUILD_H_MEAN,0.6021658346244678,0.4776722502683671,1.0,0.9792471120284987,-0.15584690231511122,-0.04635557583732559,-0.23995906412317156,0.5081153324000155,0.13698559952664374,-0.06674370868497304,-0.03355866148963846,-0.4938041394585341,0.5118596799348529,0.01093898717688562,-0.03512457760650398,,0.2787889294024654,0.32257846542338897,0.2346995951681305,0.24906127476811102
BUILD_H_MAX,0.6517807249967829,0.5724627952722695,0.9792471120284987,1.0,-0.14564622169999974,-0.052685575731540146,-0.2701262609259949,0.555305312817327,0.1577834095733164,-0.07007775318453459,-0.041097183409554996,-0.5323941408875233,0.5535791107276412,0.00563152544478053,-0.03642912894765425,,0.2831598506478549,0.33366141126553567,0.242537038005546,0.25728771327015604
ROAD_DEN,-0.14686539899932533,-0.09338586709952247,-0.15584690231511122,-0.14564622169999974,1.0,-0.01543897704674106,-0.1561000858064957,0.05748118884020619,0.153356866766436,-0.013454058634775464,-0.039170575118626816,-0.05413102153248839,0.0705823097003927,-0.02999598882320859,-0.0062267625356927404,,0.15063109401428573,0.13430071763683654,0.10048242674437943,0.10421016997686765
ELEV_MEAN,-0.06381953756641204,-0.06490195911282529,-0.04635557583732559,-0.052685575731540146,-0.01543897704674106,1.0,0.22357883298850637,-0.09416998816026496,-0.23086340380294645,-0.023118135873835766,0.5516198139993392,-0.039664910775071324,-0.11233566272989123,0.07533771855102003,-0.010548555771983877,,-0.09919975069515452,-0.08275650755398097,-0.05580281294296602,-0.06078921170445787
NDVI,-0.39222730070112044,-0.3219066514751127,-0.23995906412317156,-0.2701262609259949,-0.1561000858064957,0.22357883298850637,1.0,-0.642185922479045,-0.9553827728555316,-0.0923671552752269,0.21705550272446242,0.45819022212691085,-0.5008804201246017,0.024134226465091793,-0.04540132508030383,,-0.28947297073906414,-0.3082191014177589,-0.2042486419704034,-0.2157001791493793
NDBI,0.6792771961178534,0.6262241546936658,0.5081153324000155,0.555305312817327,0.05748118884020619,-0.09416998816026496,-0.642185922479045,1.0,0.49079869922510616,-0.09468687825760545,-0.11493391085093038,-0.7394868723543582,0.7816866837015274,0.008126208665603697,-0.024085427765945567,,0.35319457280041117,0.3839866207729425,0.2765329519182685,0.29520050797058867
NDWI,0.2802036460770673,0.19806113952949542,0.13698559952664374,0.1577834095733164,0.153356866766436,-0.23086340380294645,-0.9553827728555316,0.49079869922510616,1.0,0.1697238633139665,-0.22064783020212325,-0.3320111527879022,0.36345766464201035,-0.023140148150002683,0.06660270078131154,,0.26114025546794384,0.2712044931848555,0.17240084546152395,0.18088466647534557
LULC_WATER_COV,-0.0671706464540838,-0.06535537052139494,-0.06674370868497304,-0.07007775318453459,-0.013454058634775464,-0.023118135873835766,-0.0923671552752269,-0.09468687825760545,0.1697238633139665,1.0,-0.015040924243365294,-0.04599260957220513,-0.09067915784655164,-0.010327201041748937,0.036645454367429255,,-0.037410756717906626,-0.031196734728728408,-0.026374486612282335,-0.02795570253476723
