,BUILD_COV,BUILD_DEN,BUILD_H_MEAN,BUILD_H_MAX,ROAD_DEN,ELEV_MEAN,NDVI,NDBI,NDWI,LULC_WATER_COV,LULC_TREE_COV,LULC_CROP_COV,LULC_BUILT_COV,LULC_RANGE_COV,LULC_WETLAND_COV,LULC_BARE_COV,NTL_MEAN,POP_DEN_WORLDPOP2020,POP_DEN_LANDSCAN2020,POP_DEN_LANDSCAN2023
BUILD_COV,1.0,0.8481398664480634,0.8038099439098494,0.8314419445040134,-0.21058988991839664,0.11507274193822484,-0.34890510464909474,0.663775217454935,0.24110928208402785,-0.09440759790395126,-0.06271407875082201,-0.6107933374881371,0.6386895209124104,0.015410351207429977,-0.046003399562739154,,0.2408842334024064,0.2978880664054727,0.25154895017964485,0.34688905474377013
BUILD_DEN,0.8481398664480634,1.0,0.8227414677824866,0.8681636362341617,-0.23882583701783397,0.1278296962053248,-0.2662843501659396,0.62072839663948,0.15505135913813803,-0.09522448269151877,-0.04976322267058209,-0.5885531595472938,0.6173753210832976,-0.0015491431193274216,-0.047403627892609684,,0.1928627706040714,0.25830237106102943,0.23466400009644864,0.34275668577693086
BUILD_H_MEAN,0.8038099439098494,0.8227414677824866,1.0,0.9863793604489909,-0.25497175506363917,0.15456654120524677,-0.2550436749624314,0.6004334431360568,0.14203416846447464,-0.09611962111086853,-0.030685221836760194,-0.5917969476314725,0.614335970541437,0.01363155947362687,-0.049981413306067146,,0.23632286302123995,0.29633394874332203,0.266947083945208,0.3704651859846023
BUILD_H_MAX,0.8314419445040134,0.8681636362341617,0.9863793604489909,1.0,-0.24174731414664727,0.14609310853178928,-0.27868821489217,0.6261075652425867,0.16214318652726772,-0.09816493407337089,-0.038902582301840245,-0.6129655945455804,0.6377529351347958,0.009314889916696892,-0.05025126723955612,,0.24250613280169875,0.307379704396485,0.2744513442319495,0.38104690154214
ROAD_DEN,-0.21058988991839664,-0.23882583701783397,-0.25497175506363917,-0.24174731414664727,1.0,-0.05393463087697482,-0.14737612106575435,0.03078335025291727,0.15585683679923995,-0.009777540125679256,-0.051147860051698725,-0.024789537189251084,0.03919987849754222,-0.03386094727049197,-0.0036898435407312982,,0.07847333189043777,0.07494105181955708,0.04819867359909848,0.03511058934303233
ELEV_MEAN,0.11507274193822484,0.1278296962053248,0.15456654120524677,0.14609310853178928,-0.05393463087697482,1.0,0.2516301770676441,0.12560846102801265,-0.33075500162440524,-0.14504627475742576,0.26584145732768677,-0.09783141090393789,0.043656630792763294,0.11511039218076442,-0.04288315491996381,,0.058366714070105026,-0.09598057250105525,-0.007373496455373004,-0.024775566691786273
NDVI,-0.34890510464909474,-0.2662843501659396,-0.2550436749624314,-0.27868821489217,-0.14737612106575435,0.2516301770676441,1.0,-0.653289316869947,-0.959848058921838,-0.0720210552419242,0.21621789537333164,0.4781278719184681,-0.514187693970552,0.03990420934322805,-0.037289573536626916,,-0.2747719998508874,-0.35903569484943143,-0.23649397289670746,-0.27973879978250316
NDBI,0.663775217454935,0.62072839663948,0.6004334431360568,0.6261075652425867,0.03078335025291727,0.12560846102801265,-0.653289316869947,1.0,0.5214294698060172,-0.11572560786933399,-0.11803884537891447,-0.7599796854572468,0.8049188055028033,0.012060820897192381,-0.034164968605167496,,0.4082504474054904,0.44896628014951545,0.342374583263683,0.4473592226475883
NDWI,0.24110928208402785,0.15505135913813803,0.14203416846447464,0.16214318652726772,0.15585683679923995,-0.33075500162440524,-0.959848058921838,0.5214294698060172,1.0,0.1349256531664113,-0.23017014080896855,-0.36460182604913033,0.3953894284905184,-0.04543232687987153,0.05447767039184362,,0.2340233918986188,0.31894795634448886,0.19532832547036239,0.21830951315253783
LULC_WATER_COV,-0.09440759790395126,-0.09522448269151877,-0.09611962111086853,-0.09816493407337089,-0.009777540125679256,-0.14504627475742576,-0.0720210552419242,-0.11572560786933399,0.1349256531664113,1.0,-0.020819902203129438,-0.020636853081777397,-0.11679459682191828,-0.016641669723192535,0.09734357042597051,,-0.0903010307690416,-0.07117586627094921,-0.0807113049076062,-0.09319662541754409
