feature,linear_abs_standardized_coefficient,random_forest_importance,permutation_importance,vif
BUILD_COV,0.04890400916337967,0.002775414058351106,0.0004256025929866847,3.0196964395506924
BUILD_DEN,0.007339656352996826,0.003391444841262382,0.001183171296745922,3.0574918429055877
BUILD_H_MEAN,0.0886043980717659,0.008120094661175968,0.0030546202974825578,32.863509574701474
BUILD_H_MAX,0.1185351088643074,0.00812890378358138,0.004052133926011292,37.55442938237559
ROAD_DEN,0.0031518973410129547,0.009947125192575833,0.0013749006391113095,1.152049326330714
ELEV_MEAN,0.04311800003051758,0.04830056536703395,0.06614777316340702,1.4762617665180011
POP_DEN_WORLDPOP2020,0.0821288526058197,0.07724682328671473,0.08750638933809014,2.444177550743311
NTL_MEAN,0.14923878014087677,0.04016080351250493,0.059497808311671604,2.4092730183708113
NDVI,0.11457130312919617,0.014820966259143592,0.014718314468171257,22.111185793775682
NDBI,0.5078932046890259,0.6629746123831379,0.4407378518273649,4.643952365846948
NDWI,0.11582547426223755,0.018068251915440096,0.01295144144710284,17.80880907444638
LULC_WATER_COV,0.03831329569220543,0.002153793915169201,0.001933922867427129,1.1024497567801232
LULC_TREE_COV,0.019282780587673187,0.00036729690719776345,0.00012709741807767072,1.4638994666438174
LULC_BUILT_COV,0.2348407804965973,0.10257436082208249,0.11286540623136328,2.899824011277659
LULC_RANGE_COV,0.02511681616306305,0.0008278606525921029,0.0003595675639242901,1.0229445265367978
LULC_WETLAND_COV,0.018613748252391815,0.00014168244203668258,5.5227056959084034e-05,1.0116298855872605
