feature,mean_abs_shap
NDBI,0.8136392480306927
LULC_BUILT_COV,0.42736640854807273
POP_DEN_WORLDPOP2020,0.3372610751065946
ELEV_MEAN,0.25241832059676234
NTL_MEAN,0.15663861785061342
NDVI,0.05755553994042671
NDWI,0.04277796964690003
BUILD_H_MEAN,0.03812786420422127
BUILD_H_MAX,0.03021346960785525
LULC_WATER_COV,0.01833073664404411
ROAD_DEN,0.013576174121125894
BUILD_DEN,0.006316098640012553
BUILD_COV,0.005112267570317664
LULC_RANGE_COV,0.0014665514839787084
LULC_TREE_COV,0.0009656545584936431
LULC_WETLAND_COV,0.00012478974870740785
