,BUILD_COV,BUILD_DEN,BUILD_H_MEAN,BUILD_H_MAX,ROAD_DEN,ELEV_MEAN,NDVI,NDBI,NDWI,LULC_WATER_COV,LULC_TREE_COV,LULC_CROP_COV,LULC_BUILT_COV,LULC_RANGE_COV,LULC_WETLAND_COV,LULC_BARE_COV,NTL_MEAN,POP_DEN_WORLDPOP2020,POP_DEN_LANDSCAN2020,POP_DEN_LANDSCAN2023
BUILD_COV,1.0,0.8037551865549576,0.697936204863898,0.7376979757368395,0.2703253975737766,-0.08442352677926553,-0.19635809033543924,0.6282801232217756,0.09705267406768622,-0.08732090528982069,-0.12245438871173488,-0.42465898170605404,0.7070606518139119,0.007972632597875024,-0.04382862649907717,,0.2906035507145982,0.3442265946224331,0.2461748276728607,0.2681079841020273
BUILD_DEN,0.8037551865549576,1.0,0.6007708062563039,0.6718783501438922,0.2932920845342037,-0.0828291884639739,-0.16918513598763027,0.5984112257221541,0.06996152052239009,-0.08538766651615075,-0.11830117399092298,-0.4099069885022792,0.6861412849311761,-0.00750392401611834,-0.043070643974709964,,0.2359137943834104,0.3043221955739357,0.22401864825460793,0.2450658376366687
BUILD_H_MEAN,0.697936204863898,0.6007708062563039,1.0,0.9862500468067212,0.2718569852739715,-0.08141812543528357,-0.13881480990476672,0.532625093519283,0.04984327767995627,-0.08682115149339951,-0.11402823473748097,-0.3701681538729294,0.6299110303033393,0.0075767659672943575,-0.044078150248726466,,0.3360155216456637,0.3901917773488298,0.2800778735310908,0.30414946360976536
BUILD_H_MAX,0.7376979757368395,0.6718783501438922,0.9862500468067212,1.0,0.28751572543843984,-0.08434392856087643,-0.15045303413274128,0.5621747721759135,0.05655720325109368,-0.0893476392596176,-0.11833590370722574,-0.39195256351822705,0.6636447026137013,0.005243308784052359,-0.045345210504283105,,0.34389031719681007,0.40427290402027116,0.28965489616793166,0.31469805189768024
ROAD_DEN,0.2703253975737766,0.2932920845342037,0.2718569852739715,0.28751572543843984,1.0,-0.09486069620930551,-0.11782759285883418,0.39953160011593797,0.051232859488611976,-0.09947339472286204,-0.14325383112898207,-0.18779064998400524,0.4323198515924336,-0.006510316293631492,-0.047102350795465514,,0.272134647926168,0.2664578010577532,0.19437067607211214,0.21217904587329184
ELEV_MEAN,-0.08442352677926553,-0.0828291884639739,-0.08141812543528357,-0.08434392856087643,-0.09486069620930551,1.0,0.36987196003026773,-0.12545541844168906,-0.35331430772166517,-0.0625181611867614,0.6607368296658607,-0.3378218564435113,-0.10816056285105989,0.03032643783593441,-0.02924904949402474,,-0.15043107073876189,-0.13319535687295153,-0.09127648980922459,-0.09931092784265823
NDVI,-0.19635809033543924,-0.16918513598763027,-0.13881480990476672,-0.15045303413274128,-0.11782759285883418,0.36987196003026773,1.0,-0.2225084003811057,-0.9660804398664221,-0.3416188172857981,0.4777783467413262,0.0161058595034629,-0.23003351937492683,0.04821136285321546,-0.12171902976191902,,-0.15310246558784674,-0.1786481078517522,-0.11076517497059532,-0.11860114895140346
NDBI,0.6282801232217756,0.5984112257221541,0.532625093519283,0.5621747721759135,0.39953160011593797,-0.12545541844168906,-0.2225084003811057,1.0,0.09573488511307872,-0.10503860891039253,-0.17712890746943247,-0.39047520138388314,0.7089547663416639,0.03058016707697442,-0.017270394797508946,,0.37566504832349573,0.3780900551682139,0.26504597091910703,0.2933036033513334
NDWI,0.09705267406768622,0.06996152052239009,0.04984327767995627,0.05655720325109368,0.051232859488611976,-0.35331430772166517,-0.9660804398664221,0.09573488511307872,1.0,0.448300684872677,-0.4470213431254918,0.004182743798042163,0.1151308360452408,-0.05395853663113608,0.14455834072234255,,0.10505939772067052,0.126889910720803,0.07274893210457577,0.07702127714952925
LULC_WATER_COV,-0.08732090528982069,-0.08538766651615075,-0.08682115149339951,-0.0893476392596176,-0.09947339472286204,-0.0625181611867614,-0.3416188172857981,-0.10503860891039253,0.448300684872677,1.0,-0.07872980819433198,-0.281362818483622,-0.10585816358215377,-0.021418536460265276,0.019957245268342617,,-0.03828469859421704,-0.03771994741415736,-0.03898685604253679,-0.04196869315618909
