,BUILD_COV,BUILD_DEN,BUILD_H_MEAN,BUILD_H_MAX,ROAD_DEN,ELEV_MEAN,NDVI,NDBI,NDWI,LULC_WATER_COV,LULC_TREE_COV,LULC_CROP_COV,LULC_BUILT_COV,LULC_RANGE_COV,LULC_WETLAND_COV,LULC_BARE_COV,NTL_MEAN,POP_DEN_WORLDPOP2020,POP_DEN_LANDSCAN2020,POP_DEN_LANDSCAN2023
BUILD_COV,1.0,0.9184641524179565,0.9138414953543693,0.9175477691684213,0.36032606289502833,0.09580449708183279,-0.18726240438878794,0.5463424347965832,0.09978963650319111,-0.1142100292227003,-0.13532929950916806,-0.4213926366879502,0.7013899792781132,0.015404174385770028,-0.05892406022896334,,0.2937497776611056,0.30990417593943925,0.27224928466484766,0.3530408785376542
BUILD_DEN,0.9184641524179565,1.0,0.987354786551995,0.9906264570626224,0.3772179295455181,0.1020319601631116,-0.1596584808743522,0.5543249121821624,0.07331556395358306,-0.12188345790170844,-0.14348597362507812,-0.4051967903447146,0.699489417025624,0.017627654866766696,-0.06277637429843762,,0.29930378270587676,0.31203203536975804,0.27768579871914734,0.3631424549854382
BUILD_H_MEAN,0.9138414953543693,0.987354786551995,1.0,0.9990035197909899,0.3734524053644065,0.10491302538586678,-0.15802075098239554,0.5525302029299812,0.07164918644962806,-0.12185106637571533,-0.14164753162647553,-0.4060435114555203,0.6994520541939886,0.020274963723116927,-0.06290313457445124,,0.3033888191918788,0.31600229977131766,0.28105166902538176,0.3657730083623615
BUILD_H_MAX,0.9175477691684213,0.9906264570626224,0.9990035197909899,1.0,0.37614121272572254,0.10420436209490633,-0.16107953164228436,0.5550434643963021,0.07409781767896662,-0.12203067360644691,-0.14239563465859062,-0.4090495595240612,0.7032755370904772,0.019330369451283316,-0.06296943772676532,,0.3046962074401027,0.3179578435119286,0.2823892519896182,0.36754978481238865
ROAD_DEN,0.36032606289502833,0.3772179295455181,0.3734524053644065,0.37614121272572254,1.0,0.03030511439955777,-0.14516910304864697,0.41961079351988045,0.09291293678715334,-0.11542898856586695,-0.1609949238799597,-0.19453712723273645,0.46115774446023416,-0.0022259115773656923,-0.058360694148512166,,0.2672550510885138,0.2672433341410998,0.23008375540558754,0.27779649676944956
ELEV_MEAN,0.09580449708183279,0.1020319601631116,0.10491302538586678,0.10420436209490633,0.03030511439955777,1.0,0.4989310276493981,0.15674573072038037,-0.5654377990617241,-0.23753057960203328,0.5133467879465174,-0.30488892789416744,0.06349757752266068,0.12397631772165468,-0.07058329511913813,,-0.10032910921533057,-0.2501960832614517,-0.17262912393238836,-0.163094058837718
NDVI,-0.18726240438878794,-0.1596584808743522,-0.15802075098239554,-0.16107953164228436,-0.14516910304864697,0.4989310276493981,1.0,-0.21855347353461774,-0.9731330043145359,-0.2574626565539902,0.4942252146636075,-0.007687119133670568,-0.23619746043382275,0.06369783475430851,-0.10891488987742072,,-0.22430951254151343,-0.3022169480692546,-0.2339838353969826,-0.2230252670805666
NDBI,0.5463424347965832,0.5543249121821624,0.5525302029299812,0.5550434643963021,0.41961079351988045,0.15674573072038037,-0.21855347353461774,1.0,0.11701037907995422,-0.11500950167191694,-0.1961697303537967,-0.31407217015888156,0.6250190391938185,0.04169739353888469,-0.00837878054208822,,0.375688210254684,0.3391628863230399,0.2884719224897593,0.3708851295665604
NDWI,0.09978963650319111,0.07331556395358306,0.07164918644962806,0.07409781767896662,0.09291293678715334,-0.5654377990617241,-0.9731330043145359,0.11701037907995422,1.0,0.3199295366614876,-0.4988145814064908,0.059650257235417066,0.1461918978192294,-0.07465613951574468,0.1229233826176267,,0.18295901568816286,0.26907474217170557,0.20291227563160974,0.18364665037451922
LULC_WATER_COV,-0.1142100292227003,-0.12188345790170844,-0.12185106637571533,-0.12203067360644691,-0.11542898856586695,-0.23753057960203328,-0.2574626565539902,-0.11500950167191694,0.3199295366614876,1.0,-0.0893422088025994,-0.26929538233926437,-0.12769566207335714,-0.031003586559550447,0.13410846887001174,,-0.079900750532892,-0.05811659868129326,-0.07474945116077379,-0.09121039010357795
