feature,mean_abs_shap
NDBI,0.5034509801152318
LULC_BUILT_COV,0.421000682937616
NDVI,0.29696142563900607
ELEV_MEAN,0.20129794385594593
NTL_MEAN,0.19857986416165752
POP_DEN_LANDSCAN2023,0.1895439410911344
NDWI,0.14246943565311826
LULC_WATER_COV,0.0969054841109409
LULC_TREE_COV,0.02220989878647677
BUILD_H_MEAN,0.019564112767283957
ROAD_DEN,0.014491059698318607
BUILD_H_MAX,0.014268837277031316
LULC_WETLAND_COV,0.006226069776411173
BUILD_COV,0.0020455034086129258
BUILD_DEN,0.00203212548048329
LULC_RANGE_COV,0.0003871825009247368
