feature,mean_abs_shap
NDBI,0.46666226068916883
LULC_BUILT_COV,0.37304184037544846
NDVI,0.3321137834827422
ELEV_MEAN,0.21335569876622357
POP_DEN_WORLDPOP2020,0.20479965530545508
NTL_MEAN,0.14269282211024664
NDWI,0.0984831020538707
LULC_WATER_COV,0.09210284531594348
LULC_TREE_COV,0.050117199477601536
BUILD_H_MEAN,0.019339891917150843
ROAD_DEN,0.015850107551715707
BUILD_H_MAX,0.013186009586278932
BUILD_COV,0.005270333243982501
BUILD_DEN,0.0031287712159582376
LULC_WETLAND_COV,0.0029569196907159702
LULC_RANGE_COV,0.0010873177245006801
