,BUILD_COV,BUILD_DEN,BUILD_H_MEAN,BUILD_H_MAX,ROAD_DEN,ELEV_MEAN,NDVI,NDBI,NDWI,LULC_WATER_COV,LULC_TREE_COV,LULC_CROP_COV,LULC_BUILT_COV,LULC_RANGE_COV,LULC_WETLAND_COV,LULC_BARE_COV,NTL_MEAN,POP_DEN_WORLDPOP2020,POP_DEN_LANDSCAN2020,POP_DEN_LANDSCAN2023
BUILD_COV,1.0,0.8072621374477323,0.7325109192787262,0.7660596052735863,0.2820808509784899,-0.08562137162311327,-0.19438804143656702,0.6303156655463036,0.09491233843735225,-0.08838651145664957,-0.12275459895563655,-0.4291803552648824,0.7084716485572888,-0.0008979834474681532,-0.04457100097643439,,0.2963016639966583,0.3438330970745223,0.24080550950819044,0.2604845936220097
BUILD_DEN,0.8072621374477323,1.0,0.6454775418838119,0.7112285284682276,0.30417414216539645,-0.08431309106905648,-0.16970494406427408,0.6002682357572279,0.07033300033857035,-0.08631345542863167,-0.1196151752159336,-0.41334166704721653,0.6861900575419391,-0.012081370767937048,-0.04322337653564059,,0.24917336772154192,0.3170255595152878,0.22933288870108953,0.2507074958360531
BUILD_H_MEAN,0.7325109192787262,0.6454775418838119,1.0,0.9859384717801325,0.2972126644905924,-0.08708445576973221,-0.14169509545479597,0.5611010001009403,0.04876810149824684,-0.09274479845514556,-0.12129636968964265,-0.39166007966995675,0.6628240387422515,-0.0024057249591192998,-0.046854493323774546,,0.34975386494333993,0.4015667283262412,0.2873686531715697,0.3098761479041857
BUILD_H_MAX,0.7660596052735863,0.7112285284682276,0.9859384717801325,1.0,0.3104148336377835,-0.08916732708174599,-0.15186279907820138,0.5846988921376771,0.05478609201687383,-0.0942672717209335,-0.12433615115115734,-0.40985786769421106,0.6899608545125038,-0.005052473815234982,-0.047549928189599994,,0.35365302282327205,0.4099566842819851,0.2930803600294681,0.3157271146519893
ROAD_DEN,0.2820808509784899,0.30417414216539645,0.2972126644905924,0.3104148336377835,1.0,-0.09890283913035934,-0.11843172861403754,0.40234685439665296,0.05106132897394689,-0.09841155227783521,-0.1469595631684713,-0.18810674871646127,0.4329292700292078,-0.014166740048849038,-0.05006909265766162,,0.2762955747786855,0.2742472645191482,0.20030853708723004,0.21513828031442844
ELEV_MEAN,-0.08562137162311327,-0.08431309106905648,-0.08708445576973221,-0.08916732708174599,-0.09890283913035934,1.0,0.37541495766278493,-0.12706449244791077,-0.35894801395197323,-0.06255390309613865,0.6684532822019984,-0.3409945521826575,-0.11052306431546523,0.032927073867687215,-0.029761628680770657,,-0.15248804877524907,-0.1332283708111011,-0.0908073337719618,-0.09901721033150936
NDVI,-0.19438804143656702,-0.16970494406427408,-0.14169509545479597,-0.15186279907820138,-0.11843172861403754,0.37541495766278493,1.0,-0.21673094048189945,-0.9662768624767455,-0.3363169765984343,0.48146462002040374,0.011684991652144316,-0.23159316423139567,0.05284098989663835,-0.12074078107032309,,-0.15190840865167793,-0.1780124852749313,-0.1079667161796142,-0.1168564763644945
NDBI,0.6303156655463036,0.6002682357572279,0.5611010001009403,0.5846988921376771,0.40234685439665296,-0.12706449244791077,-0.21673094048189945,1.0,0.08979055562202934,-0.1068904920331354,-0.17776686239367975,-0.39579589034766244,0.7133231116252444,0.024287753562259602,-0.023943888360686866,,0.3764160380396775,0.38051503759952954,0.26709951425252487,0.2935314117412276
NDWI,0.09491233843735225,0.07033300033857035,0.04876810149824684,0.05478609201687383,0.05106132897394689,-0.35894801395197323,-0.9662768624767455,0.08979055562202934,1.0,0.44364104234674673,-0.4509058484565475,0.008961031480055243,0.11694919571803275,-0.05779418387074784,0.14604094376692522,,0.10482573339420694,0.12705435416877375,0.07042529449239918,0.0758509109881897
LULC_WATER_COV,-0.08838651145664957,-0.08631345542863167,-0.09274479845514556,-0.0942672717209335,-0.09841155227783521,-0.06255390309613865,-0.3363169765984343,-0.1068904920331354,0.44364104234674673,1.0,-0.07827461576064397,-0.27528056354792607,-0.10705687991991018,-0.02050402141474344,0.01905042407802049,,-0.04177060441286596,-0.0375481691084487,-0.038525209333713124,-0.04110250973265944
LULC_TREE_COV,-0.12275459895563655,-0.1196151752159336,-0.12129636968964265,-0.12433615115115734,-0.1469595631684713,0.6684532822019984,0.48146462002040374,-0.17776686239367975,-0.4509058484565475,-0.07827461576064397,1.0,-0.5139924894489947,-0.16086685513694746,-0.0015587865675686595,-0.03969321450082521,,-0.20304934042747014,-0.17097515279430509,-0.12276128540695361,-0.13311687902954997
LULC_CROP_COV,-0.4291803552648824,-0.41334166704721653,-0.39166007966995675,-0.40985786769421106,-0.18810674871646127,-0.3409945521826575,0.011684991652144316,-0.39579589034766244,0.008961031480055243,-0.27528056354792607,-0.5139924894489947,1.0,-0.6196485749478614,-0.10301126239631953,-0.15276984509817162,,-0.15778109826525813,-0.2013725920490081,-0.13372783009493294,-0.14728969840343709
LULC_BUILT_COV,0.7084716485572888,0.6861900575419391,0.6628240387422515,0.6899608545125038,0.4329292700292078,-0.11052306431546523,-0.23159316423139567,0.7133231116252444,0.11694919571803275,-0.10705687991991018,-0.16086685513694746,-0.6196485749478614,1.0,-0.029391900589552867,-0.053648663670219955,,0.4063374726798118,0.43272621862352795,0.30466908845914314,0.3322961720002223
LULC_RANGE_COV,-0.0008979834474681532,-0.012081370767937048,-0.0024057249591192998,-0.005052473815234982,-0.014166740048849038,0.032927073867687215,0.05284098989663835,0.024287753562259602,-0.05779418387074784,-0.02050402141474344,-0.0015587865675686595,-0.10301126239631953,-0.029391900589552867,1.0,-0.010228508303149763,,-0.011189164318849818,-0.022866585983969498,-0.015110634763921922,-0.017726072042059483
LULC_WETLAND_COV,-0.04457100097643439,-0.04322337653564059,-0.046854493323774546,-0.047549928189599994,-0.05006909265766162,-0.029761628680770657,-0.12074078107032309,-0.023943888360686866,0.14604094376692522,0.01905042407802049,-0.03969321450082521,-0.15276984509817162,-0.053648663670219955,-0.010228508303149763,1.0,,-0.026110118949408023,-0.022551853259923864,-0.023224666295522087,-0.022083081313018636
LULC_BARE_COV,,,,,,,,,,,,,,,,,,,,
NTL_MEAN,0.2963016639966583,0.24917336772154192,0.34975386494333993,0.35365302282327205,0.2762955747786855,-0.15248804877524907,-0.15190840865167793,0.3764160380396775,0.10482573339420694,-0.04177060441286596,-0.20304934042747014,-0.15778109826525813,0.4063374726798118,-0.011189164318849818,-0.026110118949408023,,1.0,0.7576152132326012,0.5079248804830211,0.5330442640331546
