,BUILD_COV,BUILD_DEN,BUILD_H_MEAN,BUILD_H_MAX,ROAD_DEN,ELEV_MEAN,NDVI,NDBI,NDWI,LULC_WATER_COV,LULC_TREE_COV,LULC_CROP_COV,LULC_BUILT_COV,LULC_RANGE_COV,LULC_WETLAND_COV,LULC_BARE_COV,NTL_MEAN,POP_DEN_WORLDPOP2020,POP_DEN_LANDSCAN2020,POP_DEN_LANDSCAN2023
BUILD_COV,1.0,0.9204411935890404,0.9157242061703869,0.919570734727845,0.36461358887216905,0.1022993260452417,-0.1842560061211513,0.5498950405401268,0.09668819597879992,-0.11730101947190943,-0.13602057301860987,-0.4238672171425154,0.7019000018174149,0.010235716256036519,-0.059804112454978284,,0.29882249246652504,0.3118760361347528,0.2764119615948936,0.3565710646708946
BUILD_DEN,0.9204411935890404,1.0,0.9870499397833006,0.990356828262079,0.3806767051751962,0.1080908689856141,-0.15673579378720912,0.5577444764004501,0.0703213844190947,-0.12377122487215154,-0.14473396603042227,-0.40835812176732594,0.7013673827128419,0.010468698861669751,-0.06319290914955718,,0.30423828516424495,0.31378191971962893,0.28166381404206053,0.36808684585867824
BUILD_H_MEAN,0.9157242061703869,0.9870499397833006,1.0,0.9989892541845048,0.3763399590667139,0.1111320721754958,-0.15516044686237299,0.5560384202366894,0.06879552005489993,-0.12399788832278087,-0.14305523651366314,-0.4092458183738646,0.7017755817095419,0.012509117803385409,-0.06344662456373525,,0.3090227735254846,0.3182314858015257,0.28587566215840493,0.3709232242720633
BUILD_H_MAX,0.919570734727845,0.990356828262079,0.9989892541845048,1.0,0.37905361044151487,0.11016627428387032,-0.15815069751202065,0.5585622236731993,0.07118455414316503,-0.12412142584451757,-0.14376876648378845,-0.41230769540282164,0.7055868487594473,0.011609586870611267,-0.06344019184359122,,0.3101962102225432,0.3202089466227995,0.2870616180098477,0.37253987487084433
ROAD_DEN,0.36461358887216905,0.3806767051751962,0.3763399590667139,0.37905361044151487,1.0,0.029997991463090408,-0.14395264038950875,0.42325449963546935,0.09093233352106346,-0.11370904168748724,-0.1662364750608278,-0.19411140328195386,0.4616136244179703,-0.010513729653973316,-0.05902026090465977,,0.27389283558217614,0.27211569683334236,0.23169610580725256,0.2783319141713256
ELEV_MEAN,0.1022993260452417,0.1080908689856141,0.1111320721754958,0.11016627428387032,0.029997991463090408,1.0,0.4985737903267963,0.1610016923623681,-0.5655636702365558,-0.23944265355360073,0.5139223109907922,-0.30762855838253805,0.0666301705063905,0.1226848804950092,-0.0746740705550421,,-0.10081504386380469,-0.2513264120126663,-0.16510802475995442,-0.16101708403880202
NDVI,-0.1842560061211513,-0.15673579378720912,-0.15516044686237299,-0.15815069751202065,-0.14395264038950875,0.4985737903267963,1.0,-0.21389847089418998,-0.9734209466288579,-0.25652634224541576,0.49670047139149026,-0.010442261202240078,-0.2364105784553714,0.06805730934964892,-0.10958077507314411,,-0.22175631935988513,-0.3022892705223586,-0.227447479996762,-0.22293558573563774
NDBI,0.5498950405401268,0.5577444764004501,0.5560384202366894,0.5585622236731993,0.42325449963546935,0.1610016923623681,-0.21389847089418998,1.0,0.11262470771032818,-0.12129992825000988,-0.19681834241025883,-0.3178516697213088,0.6314603316678203,0.03669972853558356,-0.0157473240600815,,0.37631645608638803,0.3374733656573963,0.29271569104503914,0.37629017633732875
NDWI,0.09668819597879992,0.0703213844190947,0.06879552005489993,0.07118455414316503,0.09093233352106346,-0.5655636702365558,-0.9734209466288579,0.11262470771032818,1.0,0.31844207275337666,-0.5013896368821855,0.06301007681640027,0.1462293386431256,-0.07900677801327775,0.1254161272558808,,0.18145616349787583,0.2699493614621969,0.19737983116345914,0.18388101648726257
LULC_WATER_COV,-0.11730101947190943,-0.12377122487215154,-0.12399788832278087,-0.12412142584451757,-0.11370904168748724,-0.23944265355360073,-0.25652634224541576,-0.12129992825000988,0.31844207275337666,1.0,-0.08934246397880295,-0.26277936522897727,-0.13025268166704213,-0.029925203691170944,0.14061063161381757,,-0.08397973138434935,-0.0601186724123543,-0.07196592884416432,-0.09245698511218138
