feature,linear_abs_standardized_coefficient,random_forest_importance,permutation_importance,vif
BUILD_COV,0.13649262487888336,0.00636887894895721,0.007616787803294301,3.877830384491282
BUILD_DEN,0.060222119092941284,0.0030193638037829657,0.0013365525549134283,3.999660520757344
BUILD_H_MEAN,0.1516386717557907,0.007007029280090587,0.004401776552966608,46.692092754010396
BUILD_H_MAX,0.15758562088012695,0.008735280466890656,0.008569281273689422,54.83951061180062
ROAD_DEN,0.05738307535648346,0.010497936175700887,0.009921659123332727,1.2703580452411858
ELEV_MEAN,0.18094022572040558,0.08724252150218699,0.13828078438509656,1.8105784031221364
POP_DEN_WORLDPOP2020,0.07855510711669922,0.0789023112052247,0.13837357761140096,2.5078358210070735
NTL_MEAN,0.13051223754882812,0.05747717055586117,0.08832892150434074,2.452952804257559
LULC_WATER_COV,0.15722288191318512,0.03239877487112776,0.03205239576997365,1.0283957894241302
LULC_TREE_COV,0.15233966708183289,0.08725717962663836,0.04402249162183517,1.8690436350397555
LULC_BUILT_COV,0.4243452250957489,0.6170350083824075,0.47721077290367225,2.7261014229263525
LULC_RANGE_COV,0.023794380947947502,0.0022304057209294476,0.0012518475696854825,1.006616632678218
LULC_WETLAND_COV,0.04728936031460762,0.0018281394602017629,0.0022993518547751225,1.0072770129220623
