feature,linear_abs_standardized_coefficient,random_forest_importance,permutation_importance,vif
BUILD_COV,0.1230294331908226,0.001252559184895023,0.00016508865022594189,3.8766252236419105
BUILD_DEN,0.06451660394668579,0.0014523127598052594,0.0005602486955291642,3.936962479074083
BUILD_H_MEAN,0.16747140884399414,0.014770857870618033,0.005892185206983336,46.70236083699619
BUILD_H_MAX,0.1360633671283722,0.017628566574927205,0.006567235128052196,54.82177027238981
ROAD_DEN,0.06493999809026718,0.006967226760583464,0.0037474736189658684,1.2435929879366288
ELEV_MEAN,0.2441309541463852,0.06142052885911339,0.08824394771205063,1.1832951931200066
POP_DEN_WORLDPOP2020,0.08508351445198059,0.1001577809826233,0.11134694950304005,2.510452126951198
NTL_MEAN,0.14277097582817078,0.03539734037417643,0.03726489480486571,2.4458208883855836
NDVI,0.857301652431488,0.1331392328827022,0.24671542153188178,21.15349292286898
NDBI,0.34345123171806335,0.5680590922352756,0.5309655031942224,2.18165003283421
NDWI,0.8327233195304871,0.05975450151527996,0.07715098964538143,20.14540721368482
