feature,linear_abs_standardized_coefficient,random_forest_importance,permutation_importance,vif
BUILD_COV,0.11064707487821579,0.0011262651596786054,0.00012652497167469078,3.85919113756918
BUILD_DEN,0.03810504078865051,0.001332898764773519,0.0003618185853059508,4.032426279438232
BUILD_H_MEAN,0.04843246191740036,0.0029046940513768483,0.0008679224448024048,51.388189169321244
BUILD_H_MAX,0.06757227331399918,0.003067153995522294,0.0011274857577799335,60.21043413974153
ROAD_DEN,0.02275678515434265,0.003930199669859502,0.0007840755188951443,1.2844110472779977
ELEV_MEAN,0.1812855303287506,0.05237940244945428,0.08250908638415291,1.783053525670082
POP_DEN_WORLDPOP2020,0.11085787415504456,0.04913889646936914,0.06802136921475518,2.4920293074440116
NTL_MEAN,0.07785402238368988,0.023706061691859702,0.023176867675557867,2.5276747213634954
NDVI,0.6450411081314087,0.11033907819433568,0.22823952157255806,26.977136379350544
NDBI,0.2790369391441345,0.18718683275376116,0.26712587122812925,2.5493832750940144
NDWI,0.5950613617897034,0.038303545550861406,0.050078959689523375,26.69588531912287
LULC_WATER_COV,0.08179010450839996,0.008312048491556378,0.011011312178962151,1.4518644799701617
LULC_TREE_COV,0.08613012731075287,0.0013480122007508291,0.0021329458887285545,2.1852822477703295
LULC_BUILT_COV,0.2464965581893921,0.5166482865262071,0.2906452564835532,2.3019116446114802
LULC_RANGE_COV,0.004223283845931292,0.0001787944651502688,3.412148550540062e-05,1.047402385626905
LULC_WETLAND_COV,0.018128518015146255,9.782956548330932e-05,0.00013204648582101352,1.0042719768387707
LULC_BARE_COV,0.008922530338168144,0.0,0.0,1.0011685420507455
