,BUILD_COV,BUILD_DEN,BUILD_H_MEAN,BUILD_H_MAX,ROAD_DEN,ELEV_MEAN,NDVI,NDBI,NDWI,LULC_WATER_COV,LULC_TREE_COV,LULC_CROP_COV,LULC_BUILT_COV,LULC_RANGE_COV,LULC_WETLAND_COV,LULC_BARE_COV,NTL_MEAN,POP_DEN_WORLDPOP2020,POP_DEN_LANDSCAN2020,POP_DEN_LANDSCAN2023
BUILD_COV,1.0,0.8074372280138395,0.7137141303917772,0.7519080794907494,0.27581333213160236,-0.08652953458520346,-0.19971582197052687,0.6346779754730667,0.1003048500868449,-0.11305627448099481,-0.13123271482705082,-0.3598431338451098,0.5442867030447961,-0.037104909739127466,-0.012756754958838074,-0.0033941143681500445,0.2948568923430865,0.34592216045144525,0.24364313098745066,0.2676110946685894
BUILD_DEN,0.8074372280138395,1.0,0.6229691546306774,0.6932509274617222,0.29917599847505216,-0.08438010256043782,-0.17438124612335026,0.6030577691194339,0.07403108043008022,-0.10828412009273856,-0.127453878942654,-0.3463004550979012,0.524323883392279,-0.03594230013098862,-0.012440293961200902,-0.0033115245085960565,0.24177646931836003,0.31202304866262515,0.23079977540887128,0.25349586732454654
BUILD_H_MEAN,0.7137141303917772,0.6229691546306774,1.0,0.9865076555288452,0.2813965734592493,-0.08552202021328702,-0.1436352393407155,0.5505400479777618,0.05280488734148384,-0.10935520455242988,-0.1313029440943765,-0.3615824165608575,0.5441965191265227,-0.03780545789688289,-0.013171239885227039,-0.0035064783834251934,0.3303676178172035,0.38117673915177114,0.2679789477086238,0.29423728017593376
BUILD_H_MAX,0.7519080794907494,0.6932509274617222,0.9865076555288452,1.0,0.297220307347456,-0.08815492518170423,-0.1550153333426918,0.5782527282548823,0.059194586131057284,-0.11334460229796933,-0.13493819297274137,-0.37215139796764113,0.5604016599066541,-0.03879586407180416,-0.013453565866652086,-0.003581343204252278,0.33656759840664574,0.39217949141953024,0.2759320291745327,0.30270871069432603
ROAD_DEN,0.27581333213160236,0.29917599847505216,0.2813965734592493,0.297220307347456,1.0,-0.09783486115560078,-0.11597608465331082,0.397509993048282,0.04894532759010168,-0.09176990486434938,-0.14851903936315425,-0.23669887504192968,0.4111325915914259,-0.03202732984634992,-0.016073085970278345,0.00023960356741178172,0.27163876131639264,0.26866207748894877,0.1979930384169381,0.21499855541525162
ELEV_MEAN,-0.08652953458520346,-0.08438010256043782,-0.08552202021328702,-0.08815492518170423,-0.09783486115560078,1.0,0.3760881294123942,-0.1313802629901621,-0.3589617951004138,-0.0779062981145539,0.6580386716287979,-0.23674875535032583,-0.13874493210314603,0.005775573945329903,-0.006224924680066933,0.00025705212458767407,-0.15273434363984772,-0.1341493314543384,-0.09112293322423431,-0.09953723188428207
NDVI,-0.19971582197052687,-0.17438124612335026,-0.1436352393407155,-0.1550153333426918,-0.11597608465331082,0.3760881294123942,1.0,-0.22474902867046406,-0.9661840785558824,-0.177311578680637,0.49278604949439553,-0.19467239323099367,-0.031440791386620315,0.07766579508363367,0.03193190051853576,-0.022134465159919785,-0.15354263444911465,-0.18004318182489043,-0.11234227441464081,-0.12135685238160099
NDBI,0.6346779754730667,0.6030577691194339,0.5505400479777618,0.5782527282548823,0.397509993048282,-0.1313802629901621,-0.22474902867046406,1.0,0.09791743778214149,-0.06696401360362543,-0.19528313495181376,-0.4299088407890495,0.6267755729052101,0.005830612860961196,-0.01179923626501302,0.011709879516621717,0.37464259004128886,0.38158392995694274,0.2680297361870892,0.2981630065740132
NDWI,0.1003048500868449,0.07403108043008022,0.05280488734148384,0.059194586131057284,0.04894532759010168,-0.3589617951004138,-0.9661840785558824,0.09791743778214149,1.0,0.2968336731688918,-0.46205491661393294,0.2046824701260959,-0.0696872198516012,-0.07623648891001183,-0.023732605126940885,0.02181062787697448,0.10633953898361188,0.12935963025896627,0.07492149443442211,0.08007185010069154
LULC_WATER_COV,-0.11305627448099481,-0.10828412009273856,-0.10935520455242988,-0.11334460229796933,-0.09176990486434938,-0.0779062981145539,-0.177311578680637,-0.06696401360362543,0.2968336731688918,1.0,-0.10593432815011432,-0.28121182923686927,-0.20516234463589536,-0.024017282289945246,-0.0011584003541977694,-0.0019383629690491566,-0.056123254242639274,-0.05276420650839674,-0.03953668065290268,-0.042319601912456324
