,BUILD_COV,BUILD_DEN,BUILD_H_MEAN,BUILD_H_MAX,ROAD_DEN,ELEV_MEAN,NDVI,NDBI,NDWI,LULC_WATER_COV,LULC_TREE_COV,LULC_CROP_COV,LULC_BUILT_COV,LULC_RANGE_COV,LULC_WETLAND_COV,LULC_BARE_COV,NTL_MEAN,POP_DEN_WORLDPOP2020,POP_DEN_LANDSCAN2020,POP_DEN_LANDSCAN2023
BUILD_COV,1.0,0.9221849264643297,0.9163966597963441,0.9203296179177388,0.36142705642087214,0.09718393139237491,-0.19089136549716793,0.5517957578595069,0.1030064958485293,-0.12807118314747554,-0.1571919333441008,-0.4188884591881805,0.611744800703725,-0.05097552019910557,-0.01767975600772534,-0.0062467560881480895,0.29957833189018834,0.31374990981449563,0.277407872646957,0.35948165839700985
BUILD_DEN,0.9221849264643297,1.0,0.9871173201868384,0.9904368215660141,0.37911348459132277,0.10320167517756909,-0.16507389694235414,0.559224235939692,0.07822691338823125,-0.1251638834977892,-0.16810104078898702,-0.43108217007189703,0.6344897891210521,-0.053214681277531095,-0.018860259659234557,-0.006860733352184713,0.30292122033118757,0.3135083634870977,0.28255326592814317,0.367985127520433
BUILD_H_MEAN,0.9163966597963441,0.9871173201868384,1.0,0.9990089325694703,0.3750545475706218,0.10644587255589284,-0.1633282744190259,0.5573663136646253,0.0766447832088269,-0.12541942253712113,-0.1673215319444659,-0.4333648846779364,0.6368628395742287,-0.053376504390011514,-0.01887444060253895,-0.006857956910271443,0.3077277050648676,0.31812000708388527,0.28632831037818546,0.37074755733689907
BUILD_H_MAX,0.9203296179177388,0.9904368215660141,0.9990089325694703,1.0,0.37767858571579527,0.10552853533204709,-0.1663112717963577,0.5598591564202372,0.07897205216641566,-0.12602731650639828,-0.16768855904473334,-0.4340969065069538,0.6378900716447969,-0.05344263899656324,-0.01887655790314037,-0.0068579569102720775,0.3087417462322051,0.3197408602131657,0.2875552588539705,0.3723566456679312
ROAD_DEN,0.36142705642087214,0.37911348459132277,0.3750545475706218,0.37767858571579527,1.0,0.02899096317849104,-0.1425184546532615,0.4191483290220909,0.08953756091938286,-0.09258451962876559,-0.16923530292502725,-0.2568159185991406,0.4435528225939999,-0.038548778787188195,-0.02104211835791829,-0.002253287181887771,0.2715038058930964,0.27080122555180025,0.23474267683675587,0.28167602648248463
ELEV_MEAN,0.09718393139237491,0.10320167517756909,0.10644587255589284,0.10552853533204709,0.02899096317849104,1.0,0.5004981928911685,0.1483524382581062,-0.5671235306306971,-0.17382601771099762,0.5171678540992951,-0.41766584722904143,0.1847268353510825,0.08518246911052421,0.0018864535262553426,0.0022464702560411644,-0.10108109280280562,-0.2527803542030813,-0.16602572186441217,-0.1587261786913252
NDVI,-0.19089136549716793,-0.16507389694235414,-0.1633282744190259,-0.1663112717963577,-0.1425184546532615,0.5004981928911685,1.0,-0.22418742823982335,-0.9730445177320284,-0.10283328443432872,0.5108464796647275,-0.21101524417419182,-0.04301825040911666,0.09738290842733312,0.03738447396944436,-0.013351089960502245,-0.2268009524728286,-0.30590016555620975,-0.23479601861345073,-0.22801138499916573
NDBI,0.5517957578595069,0.559224235939692,0.5573663136646253,0.5598591564202372,0.4191483290220909,0.1483524382581062,-0.22418742823982335,1.0,0.12202562657406779,-0.044233480367539005,-0.23019418088801888,-0.4104618618171679,0.6128317412702393,0.01079570106986317,-0.011406625372746476,0.015653954264229237,0.37945378078216374,0.3453282310874725,0.2970628441328641,0.37991501644047376
NDWI,0.1030064958485293,0.07822691338823125,0.0766447832088269,0.07897205216641566,0.08953756091938286,-0.5671235306306971,-0.9730445177320284,0.12202562657406779,1.0,0.18776850800820785,-0.5160054274944872,0.2547776590274585,-0.043853166120701774,-0.10090837328302026,-0.030713904340283683,0.010757811569696598,0.18517910888372158,0.2726247693006377,0.20319588611544587,0.1886159644317675
LULC_WATER_COV,-0.12807118314747554,-0.1251638834977892,-0.12541942253712113,-0.12602731650639828,-0.09258451962876559,-0.17382601771099762,-0.10283328443432872,-0.044233480367539005,0.18776850800820785,1.0,-0.09619214018386242,-0.2525677631392437,-0.17277568651699085,-0.0001630323873767413,0.02949332230977435,0.001487309920188781,-0.0757827367360031,-0.06250027251200727,-0.06780387863415623,-0.05767572434589873
LULC_TREE_COV,-0.1571919333441008,-0.16810104078898702,-0.1673215319444659,-0.16768855904473334,-0.16923530292502725,0.5171678540992951,0.5108464796647275,-0.23019418088801888,-0.5160054274944872,-0.09619214018386242,1.0,-0.3377060633968764,-0.235566495821421,0.015371679639563264,0.010938230460443342,-0.0027950739112321027,-0.42819398582603896,-0.47325299920664576,-0.4206925924377246,-0.43742694443448116
LULC_CROP_COV,-0.4188884591881805,-0.43108217007189703,-0.4333648846779364,-0.4340969065069538,-0.2568159185991406,-0.41766584722904143,-0.21101524417419182,-0.4104618618171679,0.2547776590274585,-0.2525677631392437,-0.3377060633968764,1.0,-0.6614199309465603,-0.08199171827497201,-0.03293350909839807,-0.0057004905992991016,-0.10642827298101211,-0.04716546081533775,-0.024379610862452383,-0.10970235451048536
LULC_BUILT_COV,0.611744800703725,0.6344897891210521,0.6368628395742287,0.6378900716447969,0.4435528225939999,0.1847268353510825,-0.04301825040911666,0.6128317412702393,-0.043853166120701774,-0.17277568651699085,-0.235566495821421,-0.6614199309465603,1.0,-0.040613881386014,-0.027001533504785114,0.001862617211465685,0.4555803494537849,0.41318039930801126,0.36179678962724743,0.46164819186619366
