id,x,y,elevation
0,581302.1089999999,2333408.8049999997,10.86
1,581337.044,2333402.995,11.07
2,581269.5819999999,2333402.426,10.76
3,581292.555,2333348.1289999997,11.12
4,581205.19,2333298.17,10.99
5,581187.4,2333278.0,10.98
6,581212.663,2332287.959,8.97
7,581282.51,2332287.14,10.41
8,581322.77,2332273.96,9.48
9,581181.039,2332298.9699999997,9.79
10,581175.664,2332357.256,7.92
11,581228.214,2332329.119,8.08
12,581201.56,2332336.3200000003,8.04
13,581228.635,2332367.224,7.84
14,581249.58,2332353.9699999997,8.05
15,581261.03,2332364.56,7.94
16,581265.88,2332337.38,8.06
17,581290.45,2332354.3200000003,8.57
18,581299.97,2332323.88,10.45
19,581275.92,2332307.38,10.66
20,581322.262,2332294.617,9.19
21,581352.92,2332273.14,9.64
22,581364.99,2332333.76,9.25
23,581352.83,2332361.4699999997,9.63
24,581325.43,2332352.56,8.33
25,581203.55,2332423.2,9.57
26,581210.06,2332474.0300000003,9.55
27,581249.71,2332471.39,9.71
28,581277.2,2332465.91,9.5
29,581307.5,2332409.9699999997,9.64
30,581374.819,2332445.608,9.48
31,581361.24,2332516.2199999997,10.32
32,581369.376,2332496.0930000003,10.14
33,581341.33,2332487.98,9.13
34,581376.39,2332475.62,10.16
35,581324.94,2332460.8,9.52
36,581358.95,2332462.91,10.75
37,581285.48,2332525.2199999997,7.59
38,581286.36,2332495.39,7.4
39,581301.441,2332502.424,7.67
40,581361.732,2332548.79,10.12
41,581374.021,2332578.648,10.37
42,581296.75,2332584.52,7.17
43,581315.43,2332652.12,7.43
44,581328.7339999999,2332617.816,7.27
45,581281.25,2332602.17,7.35
46,581215.35,2332615.76,7.29
47,581252.7,2332663.24,7.31
48,581188.914,2332651.666,8.44
49,581173.415,2332686.125,8.38
50,581329.17,2332725.9000000004,7.29
51,581317.72,2332757.31,7.34
52,581365.64,2332750.96,7.5
53,581285.47,2332739.14,7.48
54,581280.36,2332683.19,7.33
55,581339.21,2332674.19,7.3
56,581514.0,2332699.42,8.22
57,581441.0970000001,2332731.227,10.98
58,581507.872,2332620.721,9.04
59,581589.831,2332573.641,11.11
60,581594.362,2332538.281,11.67
61,581561.12,2332401.9699999997,10.11
62,581743.5430000001,2332282.392,9.77
63,581801.577,2332274.0810000002,9.0
64,581755.176,2332276.6969999997,9.26
65,581779.18,2332318.54,9.09
66,581742.0,2332322.95,10.19
67,581708.704,2332372.1059999997,8.99
68,581962.78,2332417.21,8.45
69,581892.7339999999,2332449.7060000002,8.75
70,581929.65,2332440.33,8.52
71,581787.99,2332372.38,8.18
72,581810.819,2332409.9529999997,5.81
73,581838.73,2332340.6100000003,7.88
74,581897.41,2332334.4299999997,8.26
75,581951.85,2332375.73,7.92
76,581984.27,2332373.79,7.92
77,581959.25,2332336.9000000004,7.98
78,581910.8,2332301.96,8.27
79,581982.286,2332303.9000000004,7.98
80,582086.652,2332297.0190000003,5.57
81,582114.88,2332286.87,5.42
82,582067.86,2332312.99,5.59
83,582059.24,2332281.08,5.59
84,582140.1,2332300.26,5.61
85,582165.41,2332289.63,4.82
86,582160.85,2332312.98,5.29
87,582152.13,2332329.89,7.98
88,582197.73,2332311.4699999997,8.16
89,582202.929,2332335.3880000003,8.55
90,582153.18,2332362.45,8.61
91,582112.79,2332370.34,8.21
92,582135.026,2332388.158,8.21
93,582074.784,2332387.1059999997,7.76
94,582047.01,2332416.2,9.06
95,582034.21,2332398.3710000003,7.98
96,582007.29,2332406.7,7.92
97,581984.92,2332393.88,7.92
98,582015.314,2332369.034,8.0
99,582074.97,2332411.0700000003,8.58
100,582095.53,2332345.73,5.02
101,582069.671,2332327.348,7.28
102,582178.271,2332423.863,9.28
103,582182.02,2332377.49,9.33
104,582214.35,2332412.0,8.91
105,582228.784,2332371.005,9.71
106,582214.875,2332542.858,8.83
107,582170.79,2332544.52,7.58
108,582174.836,2332495.747,8.06
109,582213.87,2332520.454,8.07
110,582245.05,2332567.41,9.16
111,582224.076,2332580.31,8.31
112,582194.13,2332567.41,8.01
113,582217.47,2332606.04,8.18
114,582198.352,2332630.9299999997,8.44
115,582233.107,2332641.816,8.16
116,582183.02,2332654.1799999997,8.53
117,582183.801,2332704.148,8.41
118,582174.101,2332724.37,9.07
119,582229.58,2332698.06,8.28
120,582234.275,2332736.6859999998,8.9
121,582193.497,2332742.8449999997,8.96
122,582225.322,2332775.5760000004,8.78
123,582144.362,2332775.058,9.14
124,582147.254,2332747.717,9.4
125,582108.153,2332710.457,8.67
126,582073.56,2332711.7,8.02
127,582150.7,2332797.21,9.43
128,582169.163,2332820.5810000002,9.39
129,582204.62,2332802.84,9.32
130,582242.54,2332840.0420000004,9.03
131,582216.48,2332889.73,8.85
132,582150.955,2332879.67,9.25
133,582172.17,2332911.37,9.25
134,582119.99,2332908.74,9.44
135,582108.268,2332884.3600000003,9.26
136,582060.784,2332904.49,8.64
137,582091.163,2332909.635,9.06
138,582116.706,2332931.766,9.17
139,582023.039,2332918.692,9.08
140,582152.165,2332957.3559999997,9.25
141,582198.571,2332941.384,8.97
142,582212.442,2332964.588,9.26
143,582213.936,2332982.914,9.12
144,582208.169,2333017.882,9.59
145,582235.45,2333015.76,9.06
146,582129.6,2333087.0300000003,9.93
147,582188.89,2333089.91,9.74
148,582211.842,2333100.884,9.99
149,582236.69,2333055.1500000004,9.26
150,582227.452,2333115.452,11.64
151,582136.174,2333116.791,11.63
152,582055.991,2333140.855,14.14
153,582035.86,2333079.1500000004,9.58
154,581922.163,2333109.633,9.25
155,581867.828,2333045.75,9.04
156,581815.631,2333050.54,9.04
157,581599.435,2333048.268,8.64
158,581689.13,2333143.705,9.17
159,581543.048,2332689.743,8.73
160,581551.469,2332935.157,8.22
161,581721.991,2332854.4529999997,8.22
162,581657.253,2333089.5889999997,9.15
163,582173.962,2332939.052,9.08
164,582189.888,2332910.782,9.27
165,582232.966,2332893.318,9.16
166,582170.0160000001,2332858.06,9.35
167,582194.841,2332818.55,9.1
168,582132.79,2332857.5300000003,9.24
169,582120.004,2332826.351,9.46
170,582099.3,2332855.23,9.17
171,581929.18,2332916.96,8.56
172,581759.2,2332886.58,8.38
173,582136.6,2333417.8200000003,8.1
174,582175.05,2333386.67,10.91
175,582081.45,2333401.24,10.51
176,582087.88,2333371.94,11.73
177,582113.93,2333339.87,12.98
178,582160.95,2333358.89,12.07
179,582180.365,2333358.639,11.96
180,582151.61,2333311.17,12.52
181,582172.218,2333310.483,12.19
182,582218.193,2333300.0300000003,12.44
183,582222.914,2333328.529,12.24
184,582237.24,2333372.24,10.63
185,582098.007,2333297.092,13.87
186,582088.5,2333342.7800000003,13.56
187,582040.86,2333353.06,12.87
188,581979.508,2333418.5779999997,10.31
189,581960.392,2333399.102,12.77
190,581886.6,2333418.58,12.39
191,581763.656,2333404.1840000004,13.41
192,581818.819,2333386.5020000003,14.44
193,581851.821,2333350.898,12.9
194,581860.79,2333361.1840000004,13.28
195,581877.795,2333393.7120000003,13.37
196,581953.85,2333332.35,11.32
197,581915.6359999999,2333295.6720000003,10.27
198,581860.1,2333300.89,10.07
199,581900.54,2333269.13,9.32
200,581956.3,2333280.63,10.08
201,581998.27,2333268.8200000003,10.35
202,581982.5,2333249.48,9.66
203,582020.18,2333239.2,10.68
204,581811.46,2333294.52,9.45
205,581793.48,2333260.1,9.7
206,581904.01,2333324.06,10.84
207,581667.35,2333408.19,10.73
208,581703.72,2333418.5,12.39
209,581595.095,2333395.4280000003,11.34
210,581523.74,2333392.546,11.96
211,581560.349,2333358.0719999997,11.22
212,581599.52,2333348.44,10.84
213,581269.452,2333336.5360000003,11.31
214,581184.575,2333354.776,11.38
215,581347.427,2333348.948,12.3
216,581206.437,2333161.2460000003,10.67
217,581195.42,2333060.219,10.24
218,581262.159,2333074.298,8.9
219,581318.451,2333004.342,8.8
220,581207.663,2332957.3090000004,8.72
221,581178.56,2332881.266,8.59
